filename,category,caption
303.jpg,M44,"The person in the image is a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are almond-shaped with a light color, possibly blue or green, and are accentuated by thick, dark eyebrows. The nose is straight and medium-sized, with a slight curve at the tip. His mouth is closed, with a neutral expression, and he has a slight overbite. There is no visible facial hair, and his hair is short, dark, and neatly groomed, with a side parting. He is wearing glasses with thick, round frames that sit comfortably on his nose. There are no visible accessories, scars, blemishes, or wrinkles. His overall emotional expression is neutral, and he is looking directly at the camera."
302.jpg,M44,"The person in the image is a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are almond-shaped with a light color, possibly blue or grey. His eyebrows are thick and arched, framing his eyes. The nose is straight and of medium size, with a slight curve at the tip. His mouth is closed, showing a slight smile, with visible teeth. He has a short, well-groomed beard and mustache, which are light in color, matching his skin tone. His hair is dark, short, and neatly trimmed, with a slight parting on the left side. He is wearing glasses with a thin frame, which sit comfortably on his nose. There are no visible accessories, scars, blemishes, or wrinkles. His overall expression is neutral, with a slight hint of a smile, and he is looking directly at the camera."
304.jpg,M44,"The person in the image is a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are of medium size, with a light-colored iris, and are set in a way that suggests a friendly and approachable demeanor. His eyebrows are thick and well-groomed, arching gracefully above his eyes. The nose is straight and of medium size, adding to his distinctive facial features. His mouth is wide open in a joyful expression, revealing a set of white teeth, and his eyes are closed, enhancing the sense of genuine happiness. There is no visible facial hair, and his hair is short, dark, and neatly styled. The hairline is straight, and there are no visible partings or designs. He is wearing glasses with a thick, round frame, which adds a touch of intellectual charm to his appearance. There are no visible accessories, scars, blemishes, or wrinkles. His overall emotional expression is one of pure, unadulterated joy, and his gaze is directed slightly upwards, suggesting a moment of laughter or a shared joke."
307.jpg,M44,"The individual in the image appears to be a person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped and of a light color, possibly blue or green. The eyebrows are thin and neatly groomed, arching slightly above the eyes. The nose is straight and of average size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is dark, short, and neatly styled, with a side parting. The hairline is straight and even. There are no visible accessories, such as earrings, glasses, or piercings. The skin appears clear, with no noticeable scars, blemishes, or wrinkles. The overall emotional expression is neutral, and the gaze is directed slightly to the left of the camera."
305.jpg,M44,"The individual in the image has a medium skin tone with a smooth texture. Their facial shape is oval, with a balanced bone structure. The eyes are almond-shaped with a light color, possibly blue or green. The eyebrows are thin and neatly groomed, arching slightly above the eyes. The nose is straight and of average size, with a smooth bridge. The mouth is closed, showing a neutral expression, with no visible teeth. There is no visible facial hair, such as a beard or mustache. The hair is dark, short, and neatly styled, with a side parting. The hairline is straight and even. There are no visible accessories, such as earrings, glasses, or piercings. The skin appears clear, with no noticeable scars, blemishes, or wrinkles. The overall emotional expression is neutral, with the gaze directed slightly downward and to the side."
301.jpg,M44,"The person in the image is a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and round, with a light color that appears to be a shade of purple or light blue. His eyebrows are thick and arched, framing his eyes. The nose is straight and medium-sized, with a slight curve at the tip. His mouth is closed, with a neutral expression, and his teeth are not visible. There is no visible facial hair, such as a beard or mustache. His hair is dark, short, and neatly trimmed, with a straight texture. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall emotional expression is neutral, and he is looking directly at the camera."
306.jpg,M44,"The person in the image is a young male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and striking, with a light blue color that stands out against his fair skin. The eyebrows are thick and well-groomed, framing his eyes. His nose is straight and of medium size, with a smooth texture. The mouth is closed, showing a neutral expression, with no visible teeth. There is no visible facial hair, and his hair is short, dark, and neatly styled. The hairline is straight, and there are no visible partings or designs. He is wearing glasses with round frames that sit comfortably on his face. There are no visible accessories, scars, blemishes, or wrinkles. His overall emotional expression appears neutral, and he is looking directly at the camera."
497.jpg,W22,"The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, almond-shaped eyes with a light color, possibly blue or green. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge. Her mouth is closed, showing a neutral expression, with no visible teeth. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is dark, pulled back, and smooth, with no visible parting or design. She is wearing round, thin-rimmed glasses that sit comfortably on her face. The overall emotional expression is neutral, and her gaze is directed slightly to the left of the camera."
498.jpg,W22,"The person in the image is a young woman with fair skin and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, expressive eyes with a light blue or grey color, framed by thick, dark eyebrows that arch gracefully above them. Her nose is straight and medium-sized, complementing her overall delicate facial features. Her mouth is closed in a neutral expression, showing a slight dimple on her right cheek. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is light brown, styled in a casual, slightly tousled manner with a parting on the left side. The hairline is straight and neat, with no visible accessories like clips or pins. She is wearing round, silver-rimmed glasses that sit comfortably on her nose, adding a touch of intellectual charm to her appearance. There are no visible piercings or other accessories. The person's overall emotional expression is neutral, with a slight hint of a smile. Her gaze is directed slightly to the left of the camera, giving a sense of engagement with something or someone off-frame."
500.jpg,W22,"The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are of medium size, with a light-colored iris, and are slightly squinted, giving a playful or exuberant expression. The eyebrows are thin and neatly groomed, arching gracefully above the eyes. The nose is straight and of average size, with a smooth texture. The mouth is wide open, revealing a set of teeth, and the expression is one of joy or excitement, with the eyes closed and the cheeks slightly raised. There is no visible facial hair, and the hair is not visible in the image. The person is wearing glasses with a thin frame, which sit comfortably on the nose. The overall emotional expression is one of happiness or enthusiasm, with the gaze directed slightly upwards and to the side."
