filename,category,caption
1702.jpg,M44,"the individual in the image appears to be a person with a medium skin tone and a smooth texture . the facial shape is oval and has a balanced bone structure . there is no visible facial hair, such as a beard or mustache ."
1004.jpg,M44,"the person in the image is a male with a medium skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . there is no visible facial hair, such as a mustache ."
1706.jpg,M44,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and a light color, possibly blue or green . there is no visible facial hair, such as a beard or mustache ."
2407.jpg,M44,"the person in the image appears to be a male with a fair skin tone and a smooth texture . his mouth is closed, showing a neutral expression, with no visible teeth . no visible facial hair, such as a beard or mustache ."
1703.jpg,M44,"the individual in the image has a medium skin tone with a smooth texture . the eyes are almond-shaped, and the eyebrows are thick and arched, framing the eyes ."
303.jpg,M44,"the person in the image is a male with a fair skin tone and a smooth texture . his eyes are large and round, and his eyebrows are thick and arched . he has a short, well-groomed beard and mustache ."
1705.jpg,M44,"the person in the image appears to be a young adult with a fair skin tone and a smooth texture . the facial shape is oval, with an attractive and well-defined bone structure . there is no visible facial hair, such as a beard or mustache ."
1002.jpg,M44,"the individual in the image has a medium skin tone with a smooth texture . the eyes are almond-shaped and a light color, possibly blue or green . no visible facial hair, such as a beard or mustache ."
3104.jpg,M44,"the person in the image is a male with a medium skin tone and a smooth texture . his eyes are of medium size, and are framed by thick, dark eyebrows . there is no visible facial hair, such as a beard or mustache ."
1006.jpg,M44,"the person in the image appears to be a male with a fair skin tone and a smooth texture . his eyes are almond-shaped with an attractive and well-defined bone structure . the nose is straight and of medium size, and his mouth is closed ."
3105.jpg,M44,"the individual in the image has a medium skin tone with a smooth texture . the facial shape is oval, with an oval bone structure . there is no visible facial hair, such as a beard or mustache ."
2405.jpg,M44,"the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial shape is oval, with an almond-shaped bone structure . there is no visible facial hair, such as a beard or mustache ."
