filename,category,caption
1702.jpg,M44,"the person in the image has a fair skin tone with a smooth texture . their facial shape is oval, and the eyebrows are thick and arched . the mouth is closed, showing a neutral expression, with visible teeth ."
1004.jpg,M44,"the person in the image appears to be a male with a medium skin tone and a smooth texture . his eyebrows are thick and well-groomed, arching gracefully above his eyes . there is no visible facial hair, and there are no visible partings or designs ."
1706.jpg,M44,"the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial shape is oval, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache ."
2407.jpg,M44,"the individual in the image appears to be a person with a medium skin tone and a smooth texture . the facial shape is oval and has a balanced bone structure . there is no visible facial hair, such as a beard or mustache ."
1703.jpg,M44,"the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial shape is oval, with an iris, possibly blue or green . there is no visible facial hair, such as a mustache ."
303.jpg,M44,"the person in the image is a male with a medium skin tone and a smooth texture . his eyes are almond-shaped and are accentuated by thick, dark eyebrows . there is no visible facial hair and his hair is not visible ."
1705.jpg,M44,"the individual in the image has a medium skin tone with a smooth texture . the facial shape is oval, with an oval bone structure . there is no visible facial hair, such as a beard or mustache ."
1002.jpg,M44,"the person in the image appears to be a male with a medium skin tone and a smooth texture . his eyes are of medium size, with an iris, possibly blue or green . the mouth is closed, showing a slight smile ."
1006.jpg,M44,"the individual in the image has a fair skin tone with a balanced bone structure . the eyebrows are almond-shaped with light color, possibly blue or green . no visible facial hair, such as a beard or mustache ."
2405.jpg,M44,"the individual in the image has a medium skin tone with a smooth texture . the eyes are of medium size, with an iris, possibly blue or green . no visible facial hair, such as a beard or mustache ."
1707.jpg,M44,"the individual in the image appears to be a person with a medium skin tone and a smooth texture . the facial shape is oval, with an iris, possibly blue or green, and the eyes are of medium size ."
302.jpg,M44,"the person in the image appears to be a male with a medium skin tone and a smooth texture . his eyes are large and round, and his eyebrows are thick and arched, framing his eyes . there is no visible facial hair, such as a beard or mustache ."
2406.jpg,M44,"the individual in the image has a fair skin tone with a balanced bone structure . the eyes are almond-shaped, with an almond shape . there is no visible facial hair, such as a beard or mustache ."
2403.jpg,M44,"the individual in the image has a medium skin tone with a smooth texture . the eyes are of medium size, with an iris, possibly blue or green . there is no visible facial hair, such as a mustache ."
2404.jpg,M44,"the facial shape is oval, with a prominent and well-defined bone structure . the eyes are almond-shaped, with an iris, possibly blue or green . there is no visible facial hair, but the hair is dark, short, and neatly styled ."
1007.jpg,M44,"the individual in the image has a medium skin tone with a smooth texture . the eyes are of medium size, with an iris, possibly blue or green . no visible facial hair, such as a beard or mustache ."
1005.jpg,M44,"the individual in the image appears to be a person with a medium skin tone and a smooth texture . the facial shape is oval, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache ."
304.jpg,M44,"the person in the image is a male with a medium skin tone and a smooth texture . his nose is straight and of average size, and his mouth is wide open in a joyful expression . there is no visible facial hair, such as a beard or mustache ."
1003.jpg,M44,"the individual in the image appears to be a person with a medium skin tone and a smooth texture . the facial shape is oval, with an iris, possibly blue or green . there is no visible facial hair, such as a mustache ."
307.jpg,M44,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and of a light color, possibly blue or green . no visible facial hair, such as a beard or mustache ."
1001.jpg,M44,"the individual in the image appears to be a person with a fair skin tone and a smooth texture . there is no visible facial hair, such as a mustache, and the hairline is not clearly visible due to the blurred nature of the image ."
1704.jpg,M44,"the person in the image appears to be a male with a medium skin tone and a smooth texture . his eyebrows are thick and well-groomed, adding to his expressive face . the nose is straight and of average size, complementing his overall balanced facial features ."
1701.jpg,M44,"the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial shape is oval, with an almond-shaped bone structure . eyebrows are thin and neatly groomed, arching slightly above the eyes ."
2401.jpg,M44,"the individual in the image has a medium skin tone with a smooth texture . the eyes are of medium size, with an iris, possibly blue or green . there is no visible facial hair, such as a mustache ."
2402.jpg,M44,"the person in the image appears to be a male with a fair skin tone and a smooth texture . his eyes are of medium size, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache ."
305.jpg,M44,"the individual in the image appears to be a person with a medium skin tone and a smooth texture . the facial shape is oval, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache ."
301.jpg,M44,"the person in the image appears to be a male with a fair skin tone and a smooth texture . his facial shape is oval, with an attractive and well-defined bone structure . the eyebrows are thick and arched, framing his eyes ."
306.jpg,M44,"the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial shape is oval and has a balanced bone structure . there is no visible facial hair, such as a beard or mustache ."
