row,original,cleaned,removed_sentences
17,"The person in the image is a young woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, expressive eyes with a light color, possibly blue or green, and her eyebrows are thick and arched, framing her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is closed in a gentle smile, showing a slight dimple on her right cheek, and her teeth are straight and white. She has no visible facial hair.  Her hair is light brown, styled in a straight, shoulder-length cut with a center parting. The hairline is neat, and there are no visible accessories or unique traits on her head. She is wearing round, thin-rimmed glasses that sit comfortably on her nose. There are no visible scars, blemishes, or wrinkles on her face. Her overall emotional expression is calm and friendly, with her gaze directed slightly to the left of the camera.","The person in the image is a young woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, expressive eyes with a light color, possibly blue or green, and her eyebrows are thick and arched, framing her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is closed in a gentle smile, showing a slight dimple on her right cheek, and her teeth are straight and white. She has no visible facial hair. Her hair is light brown, styled in a straight, shoulder-length cut with a center parting. The hairline is neat, and there are no visible accessories or unique traits on her head. She is wearing round, thin-rimmed glasses that sit comfortably on her nose. There are no visible scars, blemishes, or wrinkles on her face. Her overall emotional expression is calm and friendly, with her gaze directed slightly to the left of the camera.",[]
19,"The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, expressive eyes with a light color, possibly blue or green, and her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is closed in a gentle smile, showing a slight dimple on her right cheek, and her teeth are straight and white. There is no visible facial hair.  Her hair is light brown, styled in a casual, slightly tousled manner, with a parting that is not clearly visible. She is wearing round, thin-rimmed glasses that sit comfortably on her nose. There are no visible accessories such as earrings or piercings. Her expression is warm and approachable, with a slight hint of playfulness in her eyes, which are directed slightly to the left of the camera. There are no scars, blemishes, or wrinkles visible on her face. The overall impression is one of a friendly, approachable individual with a pleasant demeanor.","The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, expressive eyes with a light color, possibly blue or green, and her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is closed in a gentle smile, showing a slight dimple on her right cheek, and her teeth are straight and white. There is no visible facial hair. Her hair is light brown, styled in a casual, slightly tousled manner, with a parting that is not clearly visible. She is wearing round, thin-rimmed glasses that sit comfortably on her nose. There are no visible accessories such as earrings or piercings. Her expression is warm and approachable, with a slight hint of playfulness in her eyes, which are directed slightly to the left of the camera. There are no scars, blemishes, or wrinkles visible on her face. The overall impression is one of a friendly, approachable individual with a pleasant demeanor.",[]
23,"The person in the image appears to be a young woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light brown color. Her eyebrows are thin and neatly groomed, following the natural arch of her face. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear with no noticeable blemishes or scars.  Her hair is dark and appears to be of medium length, styled in a casual, tousled manner. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of round, white-framed glasses that sit comfortably on her nose. There are no visible accessories such as earrings or piercings. The overall emotional expression on her face is neutral, and she is looking directly at the camera with a soft gaze.  This person's distinct features, including her glasses, hair style, and neutral expression, make her face easily distinguishable from others.","The person in the image appears to be a young woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light brown color. Her eyebrows are thin and neatly groomed, following the natural arch of her face. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear with no noticeable blemishes or scars. Her hair is dark and appears to be of medium length, styled in a casual, tousled manner. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of round, white-framed glasses that sit comfortably on her nose. There are no visible accessories such as earrings or piercings. The overall emotional expression on her face is neutral, and she is looking directly at the camera with a soft gaze. This person's distinct features, including her glasses, hair style, and neutral expression, make her face easily distinguishable from others.",[]
27,"The person in the image appears to be a young female with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are large and round, with a light-colored iris, possibly blue or green. Her eyebrows are thin and neatly groomed, arching slightly above her eyes. The nose is straight and of average size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear with no noticeable blemishes or scars.  Her hair is dark, possibly black or very dark brown, and it is styled in a straight, sleek manner. The hairline is straight, and there are no visible partings or designs. She is wearing glasses with a thin, metallic frame that sits comfortably on her nose. The glasses have a classic, round shape that frames her eyes well.  The person's overall emotional expression is neutral, with a slight hint of seriousness. Her gaze is directed slightly to the left of the camera, giving a sense of contemplation or focus.","The person in the image appears to be a young female with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are large and round, with a light-colored iris, possibly blue or green. Her eyebrows are thin and neatly groomed, arching slightly above her eyes. The nose is straight and of average size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear with no noticeable blemishes or scars. Her hair is dark, possibly black or very dark brown, and it is styled in a straight, sleek manner. The hairline is straight, and there are no visible partings or designs. She is wearing glasses with a thin, metallic frame that sits comfortably on her nose. The glasses have a classic, round shape that frames her eyes well. The person's overall emotional expression is neutral, with a slight hint of seriousness. Her gaze is directed slightly to the left of the camera, giving a sense of contemplation or focus.",[]
28,"The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of green or hazel. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is dark, possibly black or dark brown, and it is styled in a straight, sleek manner. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of round, silver-framed glasses that sit comfortably on her nose. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and her gaze is directed slightly downwards and to the side, giving a contemplative or introspective look.  This detailed description should help distinguish this person from others based on the specific features and accessories observed in the image.","The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of green or hazel. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is dark, possibly black or dark brown, and it is styled in a straight, sleek manner. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of round, silver-framed glasses that sit comfortably on her nose. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and her gaze is directed slightly downwards and to the side, giving a contemplative or introspective look.",[]
30,"The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are large and expressive, with a light brown color. The eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is slightly open, revealing a gentle smile with visible teeth, exuding a warm and approachable expression. There is no visible facial hair, and her skin appears clear and well-maintained.  Her hair is a rich, dark brown, styled in a straight, shoulder-length cut. The hairline is neat, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall appearance is clean and polished. Her emotional expression is calm and friendly, with her gaze directed slightly to the left of the camera.","The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are large and expressive, with a light brown color. The eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is slightly open, revealing a gentle smile with visible teeth, exuding a warm and approachable expression. There is no visible facial hair, and her skin appears clear and well-maintained. Her hair is a rich, dark brown, styled in a straight, shoulder-length cut. The hairline is neat, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall appearance is clean and polished. Her emotional expression is calm and friendly, with her gaze directed slightly to the left of the camera.",[]
31,"The person in the image appears to be a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light-colored iris, possibly blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of average size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant shade of orange, styled in a straight, sleek manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall emotional expression appears neutral. She is looking directly at the camera, with her eyes focused and her gaze steady.","The person in the image appears to be a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light-colored iris, possibly blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of average size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant shade of orange, styled in a straight, sleek manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall emotional expression appears neutral. She is looking directly at the camera, with her eyes focused and her gaze steady.",[]
34,"The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant red, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and her gaze is directed straight ahead, giving a sense of direct engagement with the viewer.","The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant red, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and her gaze is directed straight ahead, giving a sense of direct engagement with the viewer.",[]
36,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant red, styled in loose waves that fall around her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and she is looking directly at the camera with a soft gaze.  This person's unique features, such as her vibrant red hair and light-colored eyes, could help distinguish her from others.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant red, styled in loose waves that fall around her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and she is looking directly at the camera with a soft gaze. This person's unique features, such as her vibrant red hair and light-colored eyes, could help distinguish her from others.",[]
37,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a slight smile, showing a set of teeth that appear to be straight and well-aligned. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is light brown, styled in a straight, shoulder-length cut with a side parting. The hairline is neat, and there are no visible accessories or piercings. The overall expression on her face is calm and neutral, with a gentle gaze directed slightly to the left of the camera. There are no visible scars, wrinkles, or other unique facial features that stand out. The person's overall appearance is polished and well-groomed, with a soft, approachable demeanor.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a slight smile, showing a set of teeth that appear to be straight and well-aligned. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is light brown, styled in a straight, shoulder-length cut with a side parting. The hairline is neat, and there are no visible accessories or piercings. The overall expression on her face is calm and neutral, with a gentle gaze directed slightly to the left of the camera. There are no visible scars, wrinkles, or other unique facial features that stand out. The person's overall appearance is polished and well-groomed, with a soft, approachable demeanor.",[]
