filename,category,caption
1702.jpg,M44,"The individual in the image appears to be a person with a medium skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped with a light color, possibly blue or green. The eyebrows are thick and arched, framing the eyes. The nose is straight and of average size, with a smooth bridge. The mouth is closed, showing a slight smile, with visible teeth. There is no visible facial hair, such as a beard or mustache. The hair is not visible in the image, so no information about its color, style, or texture can be provided. There are no visible accessories like earrings, glasses, or piercings. The person's overall expression is neutral, with a slight hint of a smile. The gaze is directed slightly to the left of the camera."
1004.jpg,M44,"The person in the image is a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are of medium size, with a light-colored iris, and are set in a slightly almond shape. His eyebrows are thick and arched, framing his eyes. The nose is straight and of average size, with a smooth bridge and tip. His mouth is open in a wide smile, revealing a set of teeth, and he appears to be in a joyful or happy state. There is no visible facial hair, such as a beard or mustache. His hair is dark, short, and neatly trimmed, with a straight texture. There are no visible accessories, scars, blemishes, or unique facial features. His overall emotional expression is one of happiness, and he is looking directly at the camera."
1706.jpg,M44,"The individual in the image appears to be a person with a medium skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped and a light color, possibly blue or green. The eyebrows are thick and arched, framing the eyes. The nose is straight and of average size, with a smooth bridge. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is not visible in the image, so no information about its color, style, or texture can be provided. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall emotional expression appears neutral, and the gaze is directed slightly to the left."
2407.jpg,M44,"The person in the image appears to be a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are almond-shaped with a light color, possibly blue or green, and are accentuated by thick, dark eyebrows. The nose is straight and of medium size, with a smooth texture. His mouth is closed, showing a neutral expression, with no visible teeth. There is no visible facial hair, such as a beard or mustache. His hair is short, dark, and neatly styled, with a parting on the side. He is wearing glasses with a round frame, which cover the bridge of his nose. There are no visible accessories, scars, blemishes, or wrinkles. His overall emotional expression is neutral, and he is looking directly at the camera."
1703.jpg,M44,"The individual in the image has a medium skin tone with a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped with a light blue color, and the eyebrows are thick and arched, framing the eyes. The nose is straight and of average size, with a smooth texture. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is dark, short, and neatly styled, with a parting on the side. There are no visible accessories, such as earrings or glasses, and no scars, blemishes, or wrinkles are present. The overall emotional expression is neutral, and the gaze is directed straight ahead."
303.jpg,M44,"The person in the image is a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and round, with a light blue color. His eyebrows are thick and arched, framing his eyes. The nose is straight and medium-sized, with a slight curve at the tip. His mouth is closed, with a neutral expression, and his teeth are not visible. He has a short, well-groomed beard and mustache, which are light brown in color. His hair is short, dark brown, and neatly trimmed, with a slight parting on the left side. He is wearing glasses with a thin frame, which sit comfortably on his nose. There are no visible accessories, scars, blemishes, or wrinkles. His overall emotional expression is neutral, and he is looking directly at the camera."
1705.jpg,M44,"The person in the image appears to be a young adult with a fair skin tone and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are large and round, with a light-colored iris, possibly blue or green. The eyebrows are thick and arched, framing the eyes. The nose is straight and slightly prominent, with a smooth texture. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is dark, short, and neatly styled, with a parting on the side. The person is wearing glasses with a thin frame, which cover the eyes. There are no visible accessories, scars, blemishes, or wrinkles. The overall emotional expression is neutral, and the gaze is directed slightly to the left."
1002.jpg,M44,"The individual in the image has a medium skin tone with a smooth texture. The facial shape appears to be oval, with a balanced bone structure. The eyes are almond-shaped and a light color, possibly blue or green. The eyebrows are thick and arched, framing the eyes. The nose is straight and of average size, with a smooth bridge. The mouth is closed, showing a neutral expression, with visible teeth. There is no visible facial hair, such as a beard or mustache. The hair is dark, short, and neatly styled, with a side parting. The hairline is straight and clean. There are no visible accessories, such as earrings or glasses, and no scars, blemishes, or wrinkles. The overall emotional expression is neutral, and the gaze is directed slightly to the left."
3104.jpg,M44,"The person in the image is a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are of medium size, with a light-colored iris, and are framed by thick, dark eyebrows. The nose is straight and of average size, with a smooth texture. His mouth is slightly open, revealing a set of teeth, and he has a cheerful expression, with a slight smile. There is no visible facial hair, such as a beard or mustache. His hair is dark, short, and neatly styled, with a parting on the side. He is wearing glasses with a thin frame, which reflect some light. There are no visible accessories, scars, blemishes, or wrinkles. His overall emotional expression is happy, and he is looking directly at the camera."
1006.jpg,M44,"The person in the image appears to be a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are almond-shaped with a light color, possibly blue or green, and are accentuated by thick, dark eyebrows. The nose is straight and of medium size, with a slight curve at the tip. His mouth is closed, showing a neutral expression, with no visible teeth. There is no visible facial hair, and his hair is not visible in the image. He is wearing glasses with a round frame, which partially obscures his eyes. The glasses have a thin, metallic frame. There are no visible accessories, scars, blemishes, or wrinkles. The person's overall emotional expression is neutral, and he is looking directly at the camera."
