filename,category,caption
303.jpg,M44,"The person in the image is a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are almond-shaped with a light blue color, and he has thick, dark eyebrows that arch slightly. His nose is straight and medium-sized, and his mouth is closed, showing a neutral expression.  His hair is short, dark, and neatly groomed. He is wearing glasses with round frames that sit comfortably on his nose. The person's overall emotional expression appears neutral, and he is looking directly at the camera."
302.jpg,M44,"The person in the image is a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and blue, with a round shape. His eyebrows are thick and arched, framing his eyes. His nose is straight and medium-sized, with a slight curve at the tip. His mouth is closed, showing a slight smile, with visible teeth. His hair is short, dark, and neatly groomed. He is wearing glasses with a thin frame, which sit comfortably on his nose. His overall expression is neutral, and he is looking directly at the camera."
304.jpg,M44,"The person in the image is a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are of medium size, with a light-colored iris, and he has thick, dark eyebrows that arch slightly. His nose is straight and of medium size, with a smooth bridge. His mouth is wide open in a joyful expression, revealing a set of white teeth. His hair is short, dark, and neatly groomed. He is wearing glasses with a round frame that sits comfortably on his face. The person's overall emotional expression is one of happiness and excitement, as he looks directly at the camera with a bright and engaging gaze."
307.jpg,M44,"The person in the image appears to be a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and round, with a light-colored iris, possibly blue or green. His eyebrows are thick and arched, framing his eyes. His nose is straight and medium-sized, with a slight curve at the tip. His mouth is closed, with a neutral expression, and his teeth are not visible. He has a light mustache that is neatly groomed. His hair is short, dark, and straight, with a natural parting on the left side. He is wearing glasses with a round frame, which sit comfortably on his nose. His overall emotional expression is neutral, and he is looking directly at the camera."
305.jpg,M44,"The person in the image is a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are almond-shaped with a light blue color, and he has thick, dark eyebrows that frame them. His nose is straight and of average size, and his mouth is closed with a neutral expression, showing no visible teeth. His hair is short, dark, and neatly groomed. He is wearing glasses with a round frame that reflects the surroundings. The person's overall emotional expression appears calm and neutral, with his gaze directed slightly to the left of the camera."
301.jpg,M44,"The person in the image is a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and round, with a light blue color. His eyebrows are thick and arched, framing his eyes. His nose is straight and medium-sized, with a slight upturn at the tip. His mouth is closed, with a neutral expression, and his teeth are not visible.  His hair is dark, short, and neatly groomed, with a side parting. The person's overall emotional expression appears neutral, and he is looking directly at the camera."
306.jpg,M44,"The person in the image appears to be a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are almond-shaped and a striking blue color, which stand out against his light skin. His eyebrows are thick and neatly groomed, arching gracefully above his eyes. His nose is straight and of medium size, complementing his overall balanced facial features. His mouth is closed, with a slight smile, revealing a set of white teeth. His hair is short, dark, and neatly styled, with a slight parting on the side. He is wearing glasses with a round frame, which sit comfortably on his nose. The glasses have a light-colored frame that contrasts with his skin tone. His overall expression is calm and composed, with a gentle gaze directed slightly to the side."
497.jpg,W22,"The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has almond-shaped eyes with a light brown hue, and her eyebrows are thin and neatly groomed. Her nose is straight and of average size, and her mouth is closed with a neutral expression, showing no visible teeth.  Her hair is dark, styled in a straight manner, and parted in the middle. She is wearing round, metallic-rimmed glasses that sit comfortably on her nose. The person's overall emotional expression appears neutral, and she is looking directly at the camera."
498.jpg,W22,"The person in the image is a woman with fair skin and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, expressive eyes with a light blue or green hue, framed by thick, dark eyebrows that arch gracefully over her eyes. Her nose is medium-sized and well-defined, with a straight bridge. Her mouth is slightly open, revealing a warm, friendly smile with visible teeth. Her hair is light brown, styled in a casual, slightly tousled manner, with a parting that appears to be natural. She is wearing a pair of round, metallic-rimmed glasses that sit comfortably on her nose. The person's overall expression is cheerful and approachable, with a direct gaze that suggests confidence and friendliness."
500.jpg,W22,"The person in the image is a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped, with a light-colored iris, possibly blue or green. The eyebrows are thick and arched, framing the eyes. The nose is straight and medium-sized, complementing the overall balanced facial features. The mouth is open in a wide, expressive yawn, revealing a set of teeth that appear to be slightly uneven. The person is wearing glasses with a thin, metallic frame, which sit comfortably on the bridge of the nose. The overall emotional expression is one of surprise or excitement, with the gaze directed slightly upwards and to the side."
499.jpg,W22,"The person in the image is a woman with fair skin and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has almond-shaped eyes with a light green hue, and her eyebrows are thin and neatly groomed. Her nose is straight and of average size, and her mouth is closed with a neutral expression, showing no visible teeth. Her hair is light brown, styled in a straight manner, and parted in the middle. She is wearing round, thin-rimmed glasses that sit comfortably on her nose. The person's overall emotional expression appears neutral, and she is looking directly at the camera."
503.jpg,W22,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light blue color, framed by thin eyebrows that arch gently. Her nose is straight and of medium size, complementing her overall delicate facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. She is wearing glasses with a thin, light-colored frame that sits comfortably on her face. The background of the image is blurred, focusing attention on her face. The person's overall emotional expression appears calm and composed, with her gaze directed slightly to the left of the camera."
502.jpg,W22,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light green color. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. Her hair is dark, styled in a straight manner, with a parting that runs down the center. She is wearing round, white-framed glasses that sit comfortably on her face. The person's overall emotional expression is neutral, and she is looking directly at the camera."
501.jpg,W22,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light blue color, with a gentle gaze that suggests a calm and composed demeanor. Her eyebrows are thin and neatly groomed, framing her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is closed, with a slight smile, and her teeth are not visible. She is wearing glasses with a thin frame, which adds a subtle touch to her appearance. The person's overall emotional expression is serene, and she is looking directly at the camera."
