row,original,cleaned,removed_sentences
9,"The person in the image is a young woman with fair skin and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, expressive eyes with a light blue or grey color, framed by thick, dark eyebrows that arch gracefully above them. Her nose is straight and medium-sized, complementing her overall delicate facial features. Her mouth is closed in a neutral expression, showing a slight dimple on her right cheek. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is light brown, styled in a casual, slightly tousled manner with a parting on the left side. The hairline is straight and neat, with no visible accessories like clips or pins. She is wearing round, silver-rimmed glasses that sit comfortably on her nose, adding a touch of intellectual charm to her appearance. There are no visible piercings or other accessories.  The person's overall emotional expression is neutral, with a slight hint of a smile. Her gaze is directed slightly to the left of the camera, giving a sense of engagement with something or someone off-frame.","The person in the image is a young woman with fair skin and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, expressive eyes with a light blue or grey color, framed by thick, dark eyebrows that arch gracefully above them. Her nose is straight and medium-sized, complementing her overall delicate facial features. Her mouth is closed in a neutral expression, showing a slight dimple on her right cheek. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is light brown, styled in a casual, slightly tousled manner with a parting on the left side. The hairline is straight and neat, with no visible accessories like clips or pins. She is wearing round, silver-rimmed glasses that sit comfortably on her nose, adding a touch of intellectual charm to her appearance. There are no visible piercings or other accessories. The person's overall emotional expression is neutral, with a slight hint of a smile. Her gaze is directed slightly to the left of the camera, giving a sense of engagement with something or someone off-frame.",[]
14,"The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, almond-shaped eyes with a light blue color, giving her a striking and expressive look. Her eyebrows are thick and well-groomed, arched gracefully above her eyes. The nose is straight and of medium size, complementing her overall facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is dark and appears to be of medium length, styled in a casual, tousled manner. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of round, metallic-framed glasses that sit comfortably on her nose. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and her gaze is directed slightly to the side, not making direct eye contact with the camera.","The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, almond-shaped eyes with a light blue color, giving her a striking and expressive look. Her eyebrows are thick and well-groomed, arched gracefully above her eyes. The nose is straight and of medium size, complementing her overall facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is dark and appears to be of medium length, styled in a casual, tousled manner. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of round, metallic-framed glasses that sit comfortably on her nose. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and her gaze is directed slightly to the side, not making direct eye contact with the camera.",[]
18,"The individual in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, neutral shade. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is dark, likely brown or black, and is styled in a straight, sleek manner. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and her gaze is directed straight ahead, giving a sense of direct engagement with the viewer.","The individual in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, neutral shade. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is dark, likely brown or black, and is styled in a straight, sleek manner. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and her gaze is directed straight ahead, giving a sense of direct engagement with the viewer.",[]
19,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light brown color, with a gentle gaze that suggests a calm and composed demeanor. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant shade of red, styled in loose waves that fall just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall emotional expression is one of tranquility and approachability. She is looking slightly to her left, with a soft, inviting gaze that suggests she is engaged in a pleasant conversation or activity.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light brown color, with a gentle gaze that suggests a calm and composed demeanor. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant shade of red, styled in loose waves that fall just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall emotional expression is one of tranquility and approachability. She is looking slightly to her left, with a soft, inviting gaze that suggests she is engaged in a pleasant conversation or activity.",[]
23,"The person in the image is a woman with fair skin and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, round eyes with a light green hue, giving her a striking and expressive look. Her eyebrows are thick and arched, framing her eyes beautifully. The nose is straight and medium-sized, adding to her distinctive facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is light brown, styled in a short, straight cut that frames her face. The hairline is neat, and there are no visible partings or designs. She is wearing glasses with thin, metallic frames, which sit comfortably on her nose. There are no visible accessories such as earrings or piercings. The overall emotional expression on her face is neutral, and she is looking directly at the camera, making eye contact with the viewer.","The person in the image is a woman with fair skin and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, round eyes with a light green hue, giving her a striking and expressive look. Her eyebrows are thick and arched, framing her eyes beautifully. The nose is straight and medium-sized, adding to her distinctive facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is light brown, styled in a short, straight cut that frames her face. The hairline is neat, and there are no visible partings or designs. She is wearing glasses with thin, metallic frames, which sit comfortably on her nose. There are no visible accessories such as earrings or piercings. The overall emotional expression on her face is neutral, and she is looking directly at the camera, making eye contact with the viewer.",[]
30,"The person in the image appears to be a young woman with a fair skin tone and a smooth complexion. Her facial shape is oval, with a balanced and symmetrical bone structure. Her eyes are almond-shaped, with a light brown color, and they are expressive, giving her a thoughtful and introspective gaze. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge and a slightly curved tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is light brown, styled in a casual, tousled manner, with a slight wave. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall emotional expression is calm and contemplative. She is looking slightly to her left, with her eyes directed in that direction, giving a sense of focus and engagement with something off-camera.","The person in the image appears to be a young woman with a fair skin tone and a smooth complexion. Her facial shape is oval, with a balanced and symmetrical bone structure. Her eyes are almond-shaped, with a light brown color, and they are expressive, giving her a thoughtful and introspective gaze. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge and a slightly curved tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is light brown, styled in a casual, tousled manner, with a slight wave. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall emotional expression is calm and contemplative. She is looking slightly to her left, with her eyes directed in that direction, giving a sense of focus and engagement with something off-camera.",[]
33,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light brown color. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge. Her mouth is closed, showing a slight smile, with visible teeth. There is no visible facial hair.  Her hair is short and appears to be a light brown color, styled in a simple, casual manner. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of earrings, which are small and circular, adding a subtle touch of style to her look. There are no visible scars, blemishes, or wrinkles on her face. Her overall expression is calm and neutral, with her gaze directed slightly to the left of the camera.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light brown color. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge. Her mouth is closed, showing a slight smile, with visible teeth. There is no visible facial hair. Her hair is short and appears to be a light brown color, styled in a simple, casual manner. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of earrings, which are small and circular, adding a subtle touch of style to her look. There are no visible scars, blemishes, or wrinkles on her face. Her overall expression is calm and neutral, with her gaze directed slightly to the left of the camera.",[]
59,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light blue color, giving her a striking and expressive look. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, adding to her refined appearance. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is dark, possibly black or very dark brown, and it is styled in a sleek, straight manner. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of earrings, which are small and circular, adding a subtle touch of elegance to her look. There are no visible scars, blemishes, or wrinkles on her face, and her overall expression is neutral, with her gaze directed slightly to the left of the camera.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light blue color, giving her a striking and expressive look. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, adding to her refined appearance. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is dark, possibly black or very dark brown, and it is styled in a sleek, straight manner. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of earrings, which are small and circular, adding a subtle touch of elegance to her look. There are no visible scars, blemishes, or wrinkles on her face, and her overall expression is neutral, with her gaze directed slightly to the left of the camera.",[]
61,"The individual in the image appears to be a person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced and symmetrical bone structure. The eyes are almond-shaped, with a light color that could be described as a light blue or grey. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache.  The person has short, dark hair that is neatly styled, with a side parting. The hairline is straight and even, with no visible scars or blemishes. There are no visible accessories, such as earrings, glasses, or piercings. The overall emotional expression is neutral, with a direct gaze that appears to be looking straight ahead.  This individual's unique facial features, including the almond-shaped eyes, thick eyebrows, and straight nose, combined with their neat hairstyle and fair skin tone, make them easily distinguishable from others.","The individual in the image appears to be a person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced and symmetrical bone structure. The eyes are almond-shaped, with a light color that could be described as a light blue or grey. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The person has short, dark hair that is neatly styled, with a side parting. The hairline is straight and even, with no visible scars or blemishes. There are no visible accessories, such as earrings, glasses, or piercings. The overall emotional expression is neutral, with a direct gaze that appears to be looking straight ahead. This individual's unique facial features, including the almond-shaped eyes, thick eyebrows, and straight nose, combined with their neat hairstyle and fair skin tone, make them easily distinguishable from others.",[]
63,"The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped with a light color, possibly blue or green. The eyebrows are thick and well-groomed, following a natural arch. The nose is straight and of medium size, with a smooth bridge. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin appears clear with no noticeable blemishes or scars.  The individual has short, dark hair that is neatly styled, with a side parting. The hairline is straight and even. There are no visible accessories such as earrings, glasses, or piercings. The overall emotional expression is neutral, and the gaze is directed slightly to the left of the camera.  This person's unique facial features, including the almond-shaped eyes, thick eyebrows, and neat hairstyle, help distinguish them from others. The clear skin and neutral expression also contribute to their distinctive appearance.","The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped with a light color, possibly blue or green. The eyebrows are thick and well-groomed, following a natural arch. The nose is straight and of medium size, with a smooth bridge. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin appears clear with no noticeable blemishes or scars. The individual has short, dark hair that is neatly styled, with a side parting. The hairline is straight and even. There are no visible accessories such as earrings, glasses, or piercings. The overall emotional expression is neutral, and the gaze is directed slightly to the left of the camera. This person's unique facial features, including the almond-shaped eyes, thick eyebrows, and neat hairstyle, help distinguish them from others. The clear skin and neutral expression also contribute to their distinctive appearance.",[]
