filename,category,caption
262.jpg,M44,"the person in the image appears to be a male with a fair skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . the image does not provide a clear view of the hairstyle ."
261.jpg,M44,"the person in the image appears to be a male with a medium skin tone and a smooth texture . his nose is straight and of average size, and his mouth is closed, showing a neutral expression . there is no visible facial hair, such as a beard or mustache ."
263.jpg,M44,"the individual in the image appears to be a person with a medium skin tone and a smooth texture . the facial shape is oval, with an almond-shaped iris that reflects a hint of purple, suggesting a possible light or blue hue ."
260.jpg,M44,"the person in the image appears to be a male with a fair skin tone and a smooth texture . his facial shape is oval, with an well-defined bone structure . the person's overall appearance is clean and well-groomed ."
258.jpg,M44,"the person in the image appears to be a male with a fair skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . there is no visible facial hair, and his hair is not visible ."
259.jpg,M44,"the person in the image appears to be a male with a fair skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . he has a well-groomed mustache thick and dark, adding a distinctive feature to his face ."
426.jpg,W22,"the person in the image appears to be a young individual with a fair skin tone and a smooth texture . there is no visible facial hair, such as a beard or mustache . the hairline is straight, and there are no visible partings or designs ."
427.jpg,W22,"the person in the image appears to be a woman with a medium skin tone and a smooth complexion . her eyes are almond-shaped, with an iris, possibly blue or green . there is no visible facial hair, and her hair is not visible ."
429.jpg,W22,"the person in the image appears to be a young individual with a fair skin tone and a smooth texture . the facial shape is oval, with an balanced bone structure . there is no visible facial hair, and the hair is not visible ."
428.jpg,W22,"the person in the image appears to be a male with a medium skin tone and a smooth texture . his eyes are almond-shaped with an attractive and well-defined bone structure . the nose is straight and of average size, and his mouth is closed ."
430.jpg,W22,"the person in the image appears to be a young woman with a fair skin tone and a smooth complexion . her eyebrows are thin and neatly groomed, arching gracefully above her eyes . there is no visible facial hair and her skin appears clear and unblemished ."
431.jpg,W22,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and a vibrant shade of green . there is no visible facial hair, and the hairline is unparted ."
533.jpg,W39,"the person in the image has a fair skin tone with a smooth texture . the eyebrows are almond-shaped with light brown color, and they have a gentle expression ."
531.jpg,W39,"facial shape is oval, with a balanced bone structure . eyebrows are thick and well-groomed, framing eyes nicely . mouth is closed, showing a slight hint of teeth, and expression is neutral ."
530.jpg,W39,"the person in the image is a woman with a fair skin tone and a smooth texture . her nose is straight and of medium size, and her eyebrows are thick and well-groomed, following a natural arch . there is no facial hair present, and there are no visible partings or designs ."
532.jpg,W39,"the person in the image is a woman with a fair skin tone and a smooth texture . the image captures a moment of stillness, with no visible accessories such as earrings, glasses, or piercings ."
529.jpg,W39,"the person in the image is a woman with a fair skin tone and a smooth texture . she is wearing a colorful scarf that covers her mouth and chin, adding a pop of color to her appearance . her overall emotional expression appears neutral, and she is looking directly at the camera ."
528.jpg,W39,"the person in the image appears to be a woman with a fair skin tone and a smooth texture . her eyes are almond-shaped and her eyebrows are thick and arched, framing her eyes . there is no visible facial hair, and there are no visible accessories ."
17.jpg,M03,"the person in the image appears to be a woman with fair skin and a smooth texture . her eyes are large and expressive, with a balanced bone structure . the mouth is closed, showing no teeth, and her hair is not visible ."
12.jpg,M03,"the person in the image appears to be a woman with fair skin and a smooth texture . her eyes are large and expressive, with a light blue color that stands out against her fair skin . the mouth is closed, showing no teeth, and has a neutral expression ."
15.jpg,M03,"the person in the image appears to be a male with a fair skin tone and a smooth texture . his eyes are large and round, with an impressive green color that stands out vividly . there is no visible facial hair, such as a mustache, and his hairline is not visible ."
14.jpg,M03,"her facial shape is oval, with a balanced bone structure . her eyes are almond-shaped and a light blue color, giving her a piercing gaze ."
13.jpg,M03,"facial shape is oval, with a prominent and well-defined bone structure . eyebrows are thick and arched, framing her eyes . mouth is closed, with neutral expression and teeth are not visible ."
16.jpg,M03,"the person in the image appears to be a woman with fair skin . her facial shape is oval, with a balanced bone structure . eyes are almond-shaped and a striking green color ."
579.jpg,W47,"the person in the image has a medium skin tone with a smooth texture . the eyes are almond-shaped and of a light color, possibly blue or green . there is no visible facial hair, such as a mustache ."
577.jpg,W47,"the person in the image appears to be a young woman with a fair skin tone and a smooth texture . her eyebrows are thick and well-groomed, framing her eyes nicely . there is no visible facial hair, and her skin appears clear and unblemished ."
576.jpg,W47,"facial shape is oval, with a balanced bone structure . eyebrows are thick and well-groomed, arching gracefully above her eyes . mouth is closed, with neutral expression, and her teeth are not visible ."
578.jpg,W47,"the person in the image appears to be a woman with a fair skin tone and a smooth texture . her facial shape is oval, with an almond-shaped bone structure . there is no visible facial hair, and her hair is not visible ."
580.jpg,W47,"the person in the image appears to be a woman with a fair skin tone and a smooth texture . her eyebrows are thick and well-groomed, arching gracefully above her eyes ."
581.jpg,W47,"the person in the image appears to be a woman with a fair skin tone and a smooth texture . she is wearing a scarf that covers her mouth and chin, adding a touch of color to her appearance ."
213.jpg,M36,"the person in the image appears to be a male with a medium skin tone and a textured complexion . his eyes are large and round, with an iris, possibly blue or green . he has a full beard and mustache, which are well-groomed ."
212.jpg,M36,"the person in the image appears to be a young individual with a fair skin tone and a smooth texture . there is no visible facial hair, such as a beard or mustache, so no information about its color, style, or texture can be provided ."
211.jpg,M36,"the person in the image is a male with a fair skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . he has a full beard and mustache, which are well-groomed ."
210.jpg,M36,"the person in the image is a male with a fair skin tone and a smooth texture . he is wearing round, thin-rimmed glasses that sit comfortably on his nose ."
215.jpg,M36,"the person in the image is a male with a medium skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . he has a full beard and mustache, which cover most of his face ."
214.jpg,M36,"the person in the image appears to be a male with a fair skin tone and a smooth texture . his eyes are large and round, with an iris, possibly blue or green . there is no visible facial hair, and his hair is not visible ."
