row,original,cleaned,removed_sentences
300,"The person has a fair complexion with short, dark hair and is wearing a pair of glasses. The individual is wearing a white shirt and has a beard. The person is wearing a black jacket and has a pair of sunglasses on. The person is wearing a black shirt and has a pair of glasses on. The person is wearing a black shirt and has a pair of sunglasses on. The person is wearing a black shirt and has a pair of sunglasses on. The person is wearing a black shirt and has a pair of sunglasses on. The person is wearing a black shirt and has a pair of sunglasses on. The person is wearing a black shirt","The person has a fair complexion with short, dark hair and is wearing a pair of glasses. The individual is wearing a white shirt and has a beard. The person is wearing a black jacket and has a pair of sunglasses on. The person is wearing a black shirt and has a pair of glasses on. The person is wearing a black shirt and has a pair of sunglasses on. The person is wearing a black shirt and has a pair of sunglasses on. The person is wearing a black shirt and has a pair of sunglasses on. The person is wearing a black shirt and has a pair of sunglasses on.",[]
302,"The person has a fair complexion, short brown hair, and is wearing a pair of glasses. The individual is wearing a white shirt and has a beard. The person is wearing a black jacket and has a pair of sunglasses. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard","The person has a fair complexion, short brown hair, and is wearing a pair of glasses. The individual is wearing a white shirt and has a beard. The person is wearing a black jacket and has a pair of sunglasses. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard.",[]
707,"The person has a fair complexion and is wearing a light-colored top. They have long, straight hair that is parted in the middle. The hair is a light brown color. The person is wearing a pair of earrings that are small and circular. The person is wearing a pair of glasses with a thin frame. The person is wearing a pair of sunglasses that are dark and have a rectangular shape. The person is wearing a pair of earrings that are small and circular. The person is wearing a pair of sunglasses that are dark and have a rectangular shape. The person is wearing a pair of earrings that are small and circular. The person is wearing","The person has a fair complexion and is wearing a light-colored top. They have long, straight hair that is parted in the middle. The hair is a light brown color. The person is wearing a pair of earrings that are small and circular. The person is wearing a pair of glasses with a thin frame. The person is wearing a pair of sunglasses that are dark and have a rectangular shape. The person is wearing a pair of earrings that are small and circular. The person is wearing a pair of sunglasses that are dark and have a rectangular shape. The person is wearing a pair of earrings that are small and circular.",[]
727,"The person has a fair complexion and is wearing a top. The top is a mix of colors, including blue and white. The person is wearing a necklace that is a mix of colors, including blue and white. The person is wearing a pair of earrings that are a mix of colors, including blue and white. The person is wearing a pair of sunglasses that are a mix of colors, including blue and white. The person is wearing a pair of shoes that are a mix of colors, including blue and white. The person is wearing a pair of gloves that are a mix of colors, including blue and white. The person is wearing a","The person has a fair complexion and is wearing a top. The top is a mix of colors, including blue and white. The person is wearing a necklace that is a mix of colors, including blue and white. The person is wearing a pair of earrings that are a mix of colors, including blue and white. The person is wearing a pair of sunglasses that are a mix of colors, including blue and white. The person is wearing a pair of shoes that are a mix of colors, including blue and white. The person is wearing a pair of gloves that are a mix of colors, including blue and white.",[]
1973,"The person in the image has a fair complexion and is wearing a top. The top is primarily white with a patterned design. The person is wearing a necklace that appears to be made of a dark material, possibly black or dark blue. The necklace has a pendant that is visible and seems to be of a different material, possibly silver or metallic. The person is also wearing a pair of earrings that are visible and appear to be of a similar material as the necklace. The person is wearing a pair of glasses that are visible and seem to be of a dark material, possibly black or dark blue. The person is also wearing a pair of","The person in the image has a fair complexion and is wearing a top. The top is primarily white with a patterned design. The person is wearing a necklace that appears to be made of a dark material, possibly black or dark blue. The necklace has a pendant that is visible and seems to be of a different material, possibly silver or metallic. The person is also wearing a pair of earrings that are visible and appear to be of a similar material as the necklace. The person is wearing a pair of glasses that are visible and seem to be of a dark material, possibly black or dark blue.",[]
1978,"The person in the image has a fair complexion and is wearing a top. The top is of a light color, possibly white or cream. The person is wearing a necklace that appears to be made of pearls or a similar material. The necklace is of medium length and has a delicate design. The person is also wearing earrings that are small and circular in shape. The earrings are of a metallic color, possibly silver or gold. The person is wearing a pair of sunglasses that are dark in color and have a classic design. The sunglasses cover the person's eyes completely. The person is wearing a pair of sunglasses that are dark in color and have","The person in the image has a fair complexion and is wearing a top. The top is of a light color, possibly white or cream. The person is wearing a necklace that appears to be made of pearls or a similar material. The necklace is of medium length and has a delicate design. The person is also wearing earrings that are small and circular in shape. The earrings are of a metallic color, possibly silver or gold. The person is wearing a pair of sunglasses that are dark in color and have a classic design. The sunglasses cover the person's eyes completely.",[]
2257,"The person in the image has a fair complexion and is wearing a top. The top is of a light color, possibly white or cream. The person is wearing a necklace that appears to be made of beads or small stones. The necklace is of a medium length and hangs around the neck. The person is also wearing a pair of earrings that are small and circular in shape. The earrings are of a metallic color, possibly silver or gold. The person is wearing a pair of sunglasses that cover the eyes and have a dark lens. The sunglasses are of a medium size and have a thin frame. The person is also wearing a pair of gloves","The person in the image has a fair complexion and is wearing a top. The top is of a light color, possibly white or cream. The person is wearing a necklace that appears to be made of beads or small stones. The necklace is of a medium length and hangs around the neck. The person is also wearing a pair of earrings that are small and circular in shape. The earrings are of a metallic color, possibly silver or gold. The person is wearing a pair of sunglasses that cover the eyes and have a dark lens. The sunglasses are of a medium size and have a thin frame.",[]
2736,The person in the image has a beard and is wearing a pair of glasses. The individual appears to be male and is wearing a pair of glasses. The person is wearing a pair of glasses and has a beard. The person is wearing a pair of glasses and has a beard. The person is wearing a pair of glasses and has a beard. The person is wearing a pair of glasses and has a beard. The person is wearing a pair of glasses and has a beard. The person is wearing a pair of glasses and has a beard. The person is wearing a pair of glasses and has a beard. The person is wearing a pair of,The person in the image has a beard and is wearing a pair of glasses. The individual appears to be male and is wearing a pair of glasses. The person is wearing a pair of glasses and has a beard. The person is wearing a pair of glasses and has a beard. The person is wearing a pair of glasses and has a beard. The person is wearing a pair of glasses and has a beard. The person is wearing a pair of glasses and has a beard. The person is wearing a pair of glasses and has a beard. The person is wearing a pair of glasses and has a beard.,[]
3003,"The person has a fair complexion, short brown hair, and is wearing glasses. The individual is wearing a white shirt and has a beard. The person is wearing a black jacket and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing","The person has a fair complexion, short brown hair, and is wearing glasses. The individual is wearing a white shirt and has a beard. The person is wearing a black jacket and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard. The person is wearing a black shirt and has a beard.",[]
3934,The person has a fair complexion and is wearing a top. The top is a light color and has a high neckline. The person is wearing a necklace that is made of a dark material. The person is also wearing a pair of earrings that are made of a dark material. The person is wearing a pair of sunglasses that are made of a dark material. The person is also wearing a pair of bracelets that are made of a dark material. The person is also wearing a pair of rings that are made of a dark material. The person is also wearing a pair of shoes that are made of a dark material. The person is also wearing a,The person has a fair complexion and is wearing a top. The top is a light color and has a high neckline. The person is wearing a necklace that is made of a dark material. The person is also wearing a pair of earrings that are made of a dark material. The person is wearing a pair of sunglasses that are made of a dark material. The person is also wearing a pair of bracelets that are made of a dark material. The person is also wearing a pair of rings that are made of a dark material. The person is also wearing a pair of shoes that are made of a dark material.,[]
