row,original,cleaned,removed_sentences
12,"The person in the image is a middle-aged individual with fair skin and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are of medium size, with a light-colored iris, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of average size, fitting well with the overall facial structure. The mouth is closed, with a slight smile, showing a set of teeth that appear to be in good condition. There is no visible facial hair, such as a beard or mustache.  The individual has short, light-colored hair that is neatly combed back, with a slight parting on the side. The hairline is receding slightly, indicating a natural aging process. There are no visible accessories, such as earrings, glasses, or piercings. The skin shows some signs of aging, such as fine lines and wrinkles, particularly around the eyes and forehead. There are no scars, blemishes, or other unique facial features that stand out.  The person's overall emotional expression is neutral to slightly content, with a gentle gaze directed slightly to the left of the camera. The individual appears to be calm and composed, with a friendly demeanor","The person in the image is a middle-aged individual with fair skin and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are of medium size, with a light-colored iris, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of average size, fitting well with the overall facial structure. The mouth is closed, with a slight smile, showing a set of teeth that appear to be in good condition. There is no visible facial hair, such as a beard or mustache. The individual has short, light-colored hair that is neatly combed back, with a slight parting on the side. The hairline is receding slightly, indicating a natural aging process. There are no visible accessories, such as earrings, glasses, or piercings. The skin shows some signs of aging, such as fine lines and wrinkles, particularly around the eyes and forehead. There are no scars, blemishes, or other unique facial features that stand out. The person's overall emotional expression is neutral to slightly content, with a gentle gaze directed slightly to the left of the camera.",[]
16,"The individual in the image is a person with a fair skin tone and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped with a light color, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, adding to the balanced facial features. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache, and the hair is not visible in the image.  The person is wearing glasses, which have a thin frame and are positioned slightly above the nose bridge. The glasses have a classic design, suggesting a preference for a timeless style. There are no visible accessories like earrings or piercings. The hairline is not visible, and there are no scars, blemishes, or wrinkles that can be discerned from the image. The overall emotional expression is neutral, and the gaze is directed slightly to the side, not making direct eye contact with the camera.","The individual in the image is a person with a fair skin tone and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped with a light color, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, adding to the balanced facial features. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache, and the hair is not visible in the image. The person is wearing glasses, which have a thin frame and are positioned slightly above the nose bridge. The glasses have a classic design, suggesting a preference for a timeless style. There are no visible accessories like earrings or piercings. The hairline is not visible, and there are no scars, blemishes, or wrinkles that can be discerned from the image. The overall emotional expression is neutral, and the gaze is directed slightly to the side, not making direct eye contact with the camera.",[]
20,"The person in the image is a middle-aged individual with a fair skin tone and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped with a light color, possibly blue or green, and are set in a way that gives a focused and intense gaze. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, adding to the person's distinguished look. The mouth is closed, with a slight smile, showing a set of teeth that are slightly visible. There is no visible facial hair, such as a beard or mustache, and the hairline is not visible in the image.  The individual has short, dark hair that is neatly combed back, giving a clean and professional appearance. There are no visible accessories, such as earrings, glasses, or piercings. The skin appears to be free of scars, blemishes, or wrinkles, contributing to a youthful and well-maintained look. The overall emotional expression is serious and focused, with the gaze directed slightly to the left of the camera.","The person in the image is a middle-aged individual with a fair skin tone and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped with a light color, possibly blue or green, and are set in a way that gives a focused and intense gaze. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, adding to the person's distinguished look. The mouth is closed, with a slight smile, showing a set of teeth that are slightly visible. There is no visible facial hair, such as a beard or mustache, and the hairline is not visible in the image. The individual has short, dark hair that is neatly combed back, giving a clean and professional appearance. There are no visible accessories, such as earrings, glasses, or piercings. The skin appears to be free of scars, blemishes, or wrinkles, contributing to a youthful and well-maintained look. The overall emotional expression is serious and focused, with the gaze directed slightly to the left of the camera.",[]
28,"The person in the image is a middle-aged individual with a fair skin tone and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped with a light color, possibly blue or green, and are set in a way that suggests a friendly and approachable demeanor. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, adding to the person's distinguished look. The mouth is closed in a neutral expression, with visible teeth, and the lips are slightly parted, giving a gentle smile. There is no visible facial hair, such as a beard or mustache, and the hair is not visible in the image.  The person is wearing glasses, which are slightly oversized and have a classic design. The glasses frame the face and add a touch of sophistication. There are no visible accessories like earrings or piercings. The skin appears to be free of scars, blemishes, or wrinkles, suggesting good skin care or a youthful complexion. The overall emotional expression is calm and composed, with the gaze directed slightly to the side, giving a sense of attentiveness and engagement with the surroundings.","The person in the image is a middle-aged individual with a fair skin tone and a smooth texture. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped with a light color, possibly blue or green, and are set in a way that suggests a friendly and approachable demeanor. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, adding to the person's distinguished look. The mouth is closed in a neutral expression, with visible teeth, and the lips are slightly parted, giving a gentle smile. There is no visible facial hair, such as a beard or mustache, and the hair is not visible in the image. The person is wearing glasses, which are slightly oversized and have a classic design. The glasses frame the face and add a touch of sophistication. There are no visible accessories like earrings or piercings. The skin appears to be free of scars, blemishes, or wrinkles, suggesting good skin care or a youthful complexion. The overall emotional expression is calm and composed, with the gaze directed slightly to the side, giving a sense of attentiveness and engagement with the surroundings.",[]
71,"The individual in the image appears to be a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are almond-shaped with a light blue hue, and they are expressive, giving a sense of depth and intelligence. His eyebrows are thick and arched, framing his eyes. His nose is straight and of medium size, adding to his distinguished look. His mouth is closed, with a neutral expression, and his teeth are not visible. He has a well-groomed beard and mustache, which are neatly trimmed and add to his rugged charm.  His hair is a medium length, with a natural, slightly wavy texture. It is styled in a casual, tousled manner, with a slight parting on the side. The hairline is receding, and there are no visible accessories or scars. His overall emotional expression is neutral, and he is looking directly at the camera, making eye contact with the viewer. The image captures a moment of calm and confidence, with a hint of approachability.","The individual in the image appears to be a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are almond-shaped with a light blue hue, and they are expressive, giving a sense of depth and intelligence. His eyebrows are thick and arched, framing his eyes. His nose is straight and of medium size, adding to his distinguished look. His mouth is closed, with a neutral expression, and his teeth are not visible. He has a well-groomed beard and mustache, which are neatly trimmed and add to his rugged charm. His hair is a medium length, with a natural, slightly wavy texture. It is styled in a casual, tousled manner, with a slight parting on the side. The hairline is receding, and there are no visible accessories or scars. His overall emotional expression is neutral, and he is looking directly at the camera, making eye contact with the viewer. The image captures a moment of calm and confidence, with a hint of approachability.",[]
74,"The person in the image appears to be a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are almond-shaped with a light blue color, and they are expressive, giving a sense of attentiveness. His eyebrows are thick and arched, framing his eyes. His nose is straight and of medium size, complementing his overall facial features. His mouth is closed, with a neutral expression, and his teeth are not visible. There is no visible facial hair, such as a beard or mustache, and his grooming appears to be well-maintained.  His hair is blonde, with a medium length that falls just above the shoulders. The hairline is straight, and there are no visible partings or designs. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall emotional expression is neutral, and his gaze is directed slightly to the side, not making direct eye contact with the camera. There are no visible scars, blemishes, or wrinkles on his face. The person's overall appearance is clean and well-groomed, with a natural and approachable demeanor.","The person in the image appears to be a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are almond-shaped with a light blue color, and they are expressive, giving a sense of attentiveness. His eyebrows are thick and arched, framing his eyes. His nose is straight and of medium size, complementing his overall facial features. His mouth is closed, with a neutral expression, and his teeth are not visible. There is no visible facial hair, such as a beard or mustache, and his grooming appears to be well-maintained. His hair is blonde, with a medium length that falls just above the shoulders. The hairline is straight, and there are no visible partings or designs. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall emotional expression is neutral, and his gaze is directed slightly to the side, not making direct eye contact with the camera. There are no visible scars, blemishes, or wrinkles on his face. The person's overall appearance is clean and well-groomed, with a natural and approachable demeanor.",[]
88,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale shade. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall delicate facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is light-colored, possibly blonde or light brown, and styled in a sleek, straight manner. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall emotional expression is neutral. She is looking slightly to the side, with her gaze directed towards something off-camera.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale shade. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall delicate facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is light-colored, possibly blonde or light brown, and styled in a sleek, straight manner. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall emotional expression is neutral. She is looking slightly to the side, with her gaze directed towards something off-camera.",[]
90,"The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light brown color, and they are expressive, giving her a warm and approachable appearance. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, adding to her refined look. Her mouth is closed, showing a slight smile, with white teeth visible. There is no visible facial hair, and her skin appears clear and well-maintained.  Her hair is dark brown, styled in a sleek, straight manner, with a center parting. The hairline is neat, and the overall hairstyle is modern and polished. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall emotional expression is calm and composed, with her gaze directed slightly to the side, giving a sense of contemplation or focus. There are no visible scars, blemishes, or wrinkles, and the overall appearance is clean and well-groomed.","The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light brown color, and they are expressive, giving her a warm and approachable appearance. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, adding to her refined look. Her mouth is closed, showing a slight smile, with white teeth visible. There is no visible facial hair, and her skin appears clear and well-maintained. Her hair is dark brown, styled in a sleek, straight manner, with a center parting. The hairline is neat, and the overall hairstyle is modern and polished. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall emotional expression is calm and composed, with her gaze directed slightly to the side, giving a sense of contemplation or focus. There are no visible scars, blemishes, or wrinkles, and the overall appearance is clean and well-groomed.",[]
92,"The individual in the image appears to be a woman with fair skin and a smooth texture. Her facial shape is oval, with a balanced and symmetrical bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale blue or grey. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall delicate facial features. Her mouth is closed, with a slight smile, showing a set of white teeth. There is no visible facial hair, and her skin appears smooth and unblemished.  Her hair is light brown, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight and even, with no visible parting. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall expression is calm and composed, with a gentle, friendly gaze that seems to be directed slightly to the side. The image captures a moment of tranquility and poise, with no additional context or background elements to provide further details.","The individual in the image appears to be a woman with fair skin and a smooth texture. Her facial shape is oval, with a balanced and symmetrical bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale blue or grey. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall delicate facial features. Her mouth is closed, with a slight smile, showing a set of white teeth. There is no visible facial hair, and her skin appears smooth and unblemished. Her hair is light brown, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight and even, with no visible parting. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall expression is calm and composed, with a gentle, friendly gaze that seems to be directed slightly to the side. The image captures a moment of tranquility and poise, with no additional context or background elements to provide further details.",[]
94,"The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced and symmetrical bone structure. Her eyes are almond-shaped with a light brown color, and they are expressive, giving her a warm and approachable appearance. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, adding to her refined look. Her mouth is closed in a gentle smile, showing a slight dimple on her right cheek, which adds a touch of playfulness to her expression. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is light brown, styled in a sleek, straight manner that falls just above her shoulders. The hairline is neat, with no visible parting or design. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall emotional expression is calm and friendly. Her gaze is directed slightly to the left, giving a sense of attentiveness and engagement with her surroundings.","The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced and symmetrical bone structure. Her eyes are almond-shaped with a light brown color, and they are expressive, giving her a warm and approachable appearance. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, adding to her refined look. Her mouth is closed in a gentle smile, showing a slight dimple on her right cheek, which adds a touch of playfulness to her expression. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is light brown, styled in a sleek, straight manner that falls just above her shoulders. The hairline is neat, with no visible parting or design. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall emotional expression is calm and friendly. Her gaze is directed slightly to the left, giving a sense of attentiveness and engagement with her surroundings.",[]
