filename,category,caption
1004.jpg,M44,"the person in the image is a male with a medium skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . there is no visible facial hair, such as a mustache ."
303.jpg,M44,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and a light blue color giving a striking appearance . there is no visible facial hair, such as a beard or mustache ."
1002.jpg,M44,"the person in the image is a male with a medium skin tone and a smooth texture . his eyes are large and round, a light blue color that stands out against his fair skin ."
1006.jpg,M44,"the person in the image appears to be a male with a fair skin tone and a smooth texture . his eyes are large and round, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache."
302.jpg,M44,"the individual in the image appears to be a person with a medium skin tone and a smooth texture . the facial shape is oval and has a balanced bone structure . a pair of round, thin-rimmed glasses are accentuated ."
1007.jpg,M44,"the individual in the image has a medium skin tone with a smooth texture . the eyes are almond-shaped, with an iris, possibly blue or green . there is no visible facial hair ."
1005.jpg,M44,"the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial shape is oval and has a balanced bone structure . there is no visible facial hair, such as a beard or mustache ."
304.jpg,M44,"the person in the image is a male with a medium skin tone and a smooth texture . his eyes are of medium size, and are framed by thick, dark eyebrows . there is no visible facial hair, such as a beard or mustache ."
1003.jpg,M44,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and a striking blue color . no visible facial hair, such as a beard or mustache ."
307.jpg,M44,"the person in the image is a male with a medium skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . there is no visible facial hair, such as a beard or mustache ."
1001.jpg,M44,the person in the image is a male with a medium skin tone and a smooth texture . he is wearing glasses that have a thin frame which complements his overall appearance .
305.jpg,M44,the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial shape is oval and has a balanced bone structure . there is no visible facial hair .
301.jpg,M44,"the person in the image is a male with a medium skin tone and a smooth texture . his eyes are almond-shaped, and they are accentuated by thick, dark eyebrows . there is no visible facial hair, and his hair is short, dark and neatly groomed ."
306.jpg,M44,"the person in the image is a male with a fair skin tone and a smooth texture . his eyes are large and round, with an oval color that stands out against his fair skin . there is no visible facial hair, and his hair is short, dark and neatly groomed ."
497.jpg,W22,"the person in the image is a woman with fair skin and a smooth texture . she has almond-shaped eyes with a light green hue and eyebrows are thick and arched, framing her eyes . there is no visible facial hair, and her hair is not visible ."
1203.jpg,W22,"the person in the image appears to be a woman with a fair skin tone and a smooth texture . her facial shape is oval, with an almond-shaped bone structure . there is no visible facial hair, and her hair is not visible ."
498.jpg,W22,"her facial shape is oval, with a balanced bone structure . her eyes are thick and arched, framing her eyes . mouth is closed in a gentle smile, showing a slight dimple on her right cheek ."
1201.jpg,W22,"the person in the image is a woman with a fair skin tone and a smooth texture . her facial shape is oval, with an almond-shaped bone structure . she is wearing a pair of round, white-framed glasses ."
1198.jpg,W22,"the person in the image is a woman with a fair skin tone and a smooth texture . her nose is straight and of medium size, complementing her overall facial features . she is wearing round, thin-rimmed glasses that sit comfortably on her nose ."
500.jpg,W22,"the person in the image appears to be a young individual with a fair skin tone and a smooth texture . there is no visible facial hair, and the hair is not visible . the overall emotional expression is one of surprise or excitement ."
1202.jpg,W22,"the person in the image appears to be a young woman with a fair skin tone and a smooth texture . her eyebrows are thin and neatly groomed, arching gracefully above her eyes . there is no visible facial hair, and her overall emotional expression is neutral ."
499.jpg,W22,"the person in the image appears to be a woman with a fair skin tone and a smooth texture . her eyes are large and round, with an oval bone structure . there is no visible facial hair and her hair is not visible ."
503.jpg,W22,"the person in the image appears to be a young woman with a fair skin tone . her eyes are almond-shaped and a light brown color . she is wearing a pair of round, white-framed glasses that sit comfortably on her nose ."
1200.jpg,W22,"the person in the image appears to be a young individual with a fair skin tone and a smooth texture . there is no visible facial hair, and the hair is not visible ."
1197.jpg,W22,"the person in the image is a woman with a fair skin tone and a smooth texture . she has large, almond-shaped eyes, and eyebrows are thick and arched, framing her eyes . there is no visible facial hair, and her hair is not visible ."
502.jpg,W22,"facial shape is oval, with a balanced bone structure . eyes are almond-shaped and a striking green color, which stand out against her fair skin . lips are thick and arched, framing her eyes ."
1199.jpg,W22,"the person in the image appears to be a young female with a fair skin tone and a smooth texture . her eyebrows are thin and neatly groomed, arching slightly above her eyes . there is no visible facial hair, and her skin appears clear with no noticeable blemishes ."
501.jpg,W22,"the person in the image is a woman with a medium skin tone and a smooth complexion . her eyebrows are thin and neatly groomed, arching gracefully above her eyes . there is no visible facial hair, and her skin appears clear and unblemished ."
621.jpg,W39,"the person in the image appears to be a woman with a fair skin tone and a smooth texture . she is not wearing any visible accessories such as earrings, glasses or piercings ."
617.jpg,W39,"the person in the image is a woman with a fair skin tone and a smooth texture . her nose is straight and of medium size, complementing her overall facial features . there is no visible facial hair, and her skin appears clear and well-maintained ."
622.jpg,W39,"the person in the image appears to be a woman with a medium skin tone and a smooth complexion . she is looking directly at the camera, with her eyes focused and her gaze steady ."
1317.jpg,W39,"the person in the image is a woman with a fair skin tone and a smooth texture . her eyebrows are thick and arched, framing her eyes . there are no visible facial hair, scars, blemishes or wrinkles ."
618.jpg,W39,"the person in the image is a woman with a fair skin tone and a smooth texture . her eyes are almond-shaped and her eyebrows are thick and arched, framing her eyes . there is no visible facial hair ."
1316.jpg,W39,"facial shape is oval, with a balanced bone structure . eyebrows are thick and well-groomed, arching gracefully above her eyes . mouth is closed, with neutral expression, and her teeth are not visible ."
620.jpg,W39,"facial shape is oval, with a balanced bone structure . eyebrows are thick and well-groomed, arched slightly, and frame her eyes nicely . there is no visible facial hair, and her skin appears clear and unblemished ."
1321.jpg,W39,"facial shape is oval, with a balanced bone structure . eyebrows are thin and neatly groomed, arching gracefully above her eyes . there is no visible facial hair, and her skin appears clear and unblemished ."
1322.jpg,W39,"the person in the image appears to be a woman with a fair skin tone and a smooth texture . her eyebrows are thin and neatly groomed, arching gracefully above her eyes . no visible facial hair, and her skin appears clear and unblemished ."
1319.jpg,W39,"her facial shape is oval, with a prominent and well-defined bone structure . her eyes are almond-shaped, with an iris, possibly blue or green . there is no visible facial hair, and her hair is auburn ."
619.jpg,W39,"the person in the image is a woman with a fair skin tone and a smooth texture . her eyes are almond-shaped, with an iris, possibly blue or green . the nose is straight and slightly upturned . there is no visible facial hair."
1320.jpg,W39,"facial shape is oval, with a balanced bone structure . eyebrows are thick and well-groomed, arching gracefully above her eyes . there is no visible facial hair, and her skin appears clear and unblemished ."
1318.jpg,W39,"the person in the image is a woman with a fair skin tone and a smooth texture . her eyebrows are thin and neatly groomed, arching gracefully above her eyes . no visible facial hair, and her skin appears clear and unblemished ."
616.jpg,W39,"the person in the image is a woman with a medium skin tone and a smooth complexion . she has a thin eyebrow that arches gracefully above each eye . there is no visible facial hair, and her lips are parted, revealing a small amount of teeth ."
17.jpg,M03,"the person in the image is a male with a fair skin tone and a smooth texture . his eyebrows are thin and neatly groomed, arching slightly above his eyes . there is no visible facial hair, and his hair is not visible ."
19.jpg,M03,"the person in the image is a woman with fair skin and a smooth texture . she has large, round eyes with a balanced bone structure . her eyes are thick and arched, framing her eyes . the nose is straight and medium-sized, complementing her overall facial features ."
717.jpg,M03,"the person in the image is a middle-aged individual with fair skin . the facial shape is oval, with a prominent and well-defined bone structure . there is no visible facial hair, such as a beard or mustache ."
715.jpg,M03,"the person in the image is a male with a fair skin tone and a smooth texture . he is wearing large, round, clear glasses that cover his eyes . there are no visible accessories, scars, wrinkles, or scars ."
18.jpg,M03,"the individual in the image appears to be a person with fair skin and a smooth texture . the facial shape is oval, with a balanced bone structure ."
720.jpg,M03,the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial shape is oval and has a balanced and symmetrical bone structure . there is no visible facial hair such as a beard or mustache .
15.jpg,M03,"the person in the image is a male with a fair skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . he is wearing round, clear glasses that sit comfortably on his nose ."
719.jpg,M03,"the person in the image appears to be a woman with a fair skin tone and a smooth texture . her eyebrows are thin and neatly groomed, arching gracefully above her eyes . there is no visible facial hair, and her hair is not visible ."
14.jpg,M03,"the person in the image is a male with fair skin and a smooth texture . his facial shape is oval, with a prominent and well-defined bone structure ."
714.jpg,M03,"the person in the image is a male with fair skin and a smooth texture . his facial shape is oval, with a prominent and well-defined bone structure ."
20.jpg,M03,"the person in the image appears to be a middle-aged individual with fair skin and a smooth texture . the facial shape is oval, with a balanced bone structure ."
716.jpg,M03,"the individual in the image appears to be a middle-aged person with fair skin . the facial shape is oval, with a prominent and well-defined bone structure . there is no visible facial hair, such as a beard or mustache ."
718.jpg,M03,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and a striking blue color . there is no visible facial hair, such as a beard or mustache."
16.jpg,M03,"the individual in the image is a person with fair skin and a smooth texture . their facial shape is oval, with a balanced bone structure . the eyes are almond-shaped, and the eyebrows are thin and neatly groomed ."
672.jpg,W47,the individual in the image appears to be a young person with a fair skin tone and a smooth texture . the facial shape is oval and of a balanced bone structure . eyebrows are thin and neatly groomed and arch slightly above the eyes .
1374.jpg,W47,"the person in the image is a woman with a fair skin tone and a smooth texture . she is not wearing any visible accessories, such as earrings, glasses, or piercings ."
1372.jpg,W47,"the person in the image appears to be a woman with a medium skin tone and a smooth complexion . she is not wearing any accessories such as earrings, glasses, or piercings ."
677.jpg,W47,"the person in the image appears to be a young woman with a fair skin tone and a smooth texture . she is looking directly at the camera, with her eyes focused and her gaze steady . there is no visible facial hair, and her skin appears clear and unblemished ."
674.jpg,W47,the person in the image is a woman with a fair skin tone and a smooth texture . her eyes are almond-shaped and dark brown . there is no visible facial hair and her skin appears clear and unblemished .
1376.jpg,W47,"the person in the image appears to be a young female with a fair skin tone and a smooth texture . her facial shape is oval, with an almond-shaped bone structure . there is no visible facial hair, and her skin appears clear and unblemished ."
1378.jpg,W47,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and of a light color, possibly blue or green . there is no visible facial hair, such as a mustache ."
673.jpg,W47,"the person in the image appears to be a young individual . the facial shape is oval, with a balanced bone structure . eyebrows are thin and neatly groomed, arching slightly above eyes ."
1373.jpg,W47,"the person in the image appears to be a young individual with a fair skin tone and a smooth texture . there is no visible facial hair, and the hair is not visible . the overall emotional expression is cheerful and friendly ."
1375.jpg,W47,"the facial shape is oval, with a prominent and well-defined bone structure . the eyes are almond-shaped, with an iris, possibly blue or green . there is no visible facial hair, and the hair is not visible ."
676.jpg,W47,"the person in the image appears to be a young female with a fair skin tone and a smooth texture . her eyebrows are thin and neatly groomed, arching gracefully above her eyes . there is no visible facial hair, and her skin appears clear and unblemished ."
678.jpg,W47,"the person in the image appears to be a young individual with a fair skin tone and a smooth texture . the eyes are almond-shaped and dark brown . there is no visible facial hair, such as a beard or mustache ."
675.jpg,W47,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped, a light color, possibly blue or green . there is no visible facial hair, and the skin appears unblemished ."
1377.jpg,W47,"the person in the image appears to be a young female with a fair skin tone and a smooth texture . she is looking directly at the camera, with her eyes making direct contact, giving a sense of curiosity or attentiveness ."
246.jpg,M36,"the person in the image is a male with a fair skin tone and a smooth texture . his eyes are of medium size, with an iris, and are set in a symmetrical position ."
247.jpg,M36,"the individual in the image is a person with a fair skin tone and a smooth texture . the facial shape is oval, with an iris, possibly blue or green ."
248.jpg,M36,"facial shape is oval, with prominent jawline and well-defined cheekbones . his eyes are of medium size, with a light-colored iris, and are slightly squinted ."
948.jpg,M36,"the person in the image is a male with a fair skin tone and a smooth texture . his eyebrows are thick and arched, adding to his expressive face . the nose is straight and of average size, complementing his overall balanced facial features ."
249.jpg,M36,"the individual in the image is a person with a fair skin tone and a smooth texture . the eyes are almond-shaped and of a light color, possibly blue or green ."
946.jpg,M36,"the person in the image is a male with a fair skin tone and a smooth texture . his eyes are of medium size, with an iris and are set in a symmetrical position . he has a light beard and mustache which are neatly groomed and well-maintained ."
251.jpg,M36,"the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial shape is oval, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache ."
945.jpg,M36,"the individual in the image is a person with a medium skin tone and a smooth texture . the facial shape is oval, with an oval bone structure . there is no visible facial hair, such as a beard or mustache ."
950.jpg,M36,"the facial shape is oval, with a prominent and well-defined bone structure . the eyes are almond-shaped, framing the eyes . there is no visible facial hair, such as a mustache ."
951.jpg,M36,"the individual in the image appears to be a young male with a fair skin tone and a smooth texture . his eyes are of medium size, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache ."
250.jpg,M36,"the individual in the image is a person with a fair skin tone and a smooth texture . the facial shape is oval, with an attractive and well-defined bone structure . there are no visible accessories, scars, blemishes or unique facial features ."
245.jpg,M36,"the person in the image is a male with a medium skin tone and a smooth texture . his mouth is closed, showing a neutral expression with visible teeth . there is no visible parting or design in his hairstyle ."
949.jpg,M36,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and of a light color, possibly blue or green . they are thin and neatly groomed, arching slightly above the eyes ."
947.jpg,M36,"the person in the image is a male with a fair skin tone and a smooth texture . his facial shape is oval, with an oval bone structure . the eyebrows are thick and arched, framing his eyes ."
1009.jpg,M45,"the person in the image is a male with a fair skin tone and a smooth texture . his eyes are almond-shaped with an oval bone structure . there is no visible facial hair, such as a beard or mustache ."
1010.jpg,M45,"the individual in the image is a person with a fair skin tone and a smooth texture . there is no visible facial hair, such as a beard or mustache . the person's overall emotional expression appears neutral ."
1014.jpg,M45,"the individual in the image appears to be a male with a fair skin tone and a smooth texture . his eyes are of medium size, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache ."
1012.jpg,M45,"the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial shape is oval, with an almond-shaped bone structure . there is no visible facial hair, such as a beard or mustache ."
308.jpg,M45,"the person in the image is a male with a fair skin tone and a smooth texture . his facial shape is oval, with an attractive and well-defined bone structure . he is wearing glasses with thin frames, which reflect light ."
1008.jpg,M45,"the individual in the image appears to be a male with a medium skin tone and a smooth texture . his eyes are of medium size and are framed by thick, rounded eyebrows . the mouth is closed, showing no visible teeth ."
1011.jpg,M45,"the person in the image appears to be a male with a fair skin tone and a smooth texture . his eyes are almond-shaped, with an attractive and well-defined bone structure . the person's overall emotional expression is one of anger or frustration ."
1013.jpg,M45,"the individual in the image appears to be a male with a fair skin tone and a smooth texture . his eyes are almond-shaped, with an attractive and well-defined bone structure . the nose is straight and of medium size and his teeth are not visible ."
314.jpg,M45,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and a rich brown color . there is no visible facial hair, such as a mustache ."
310.jpg,M45,the individual in the image is a person with a fair skin tone and a smooth texture . the facial shape is oval and has a prominent and well-defined bone structure .
312.jpg,M45,the individual in the image appears to be a male with a fair skin tone and a smooth texture . his eyes are almond-shaped and have a prominent and well-defined bone structure .
309.jpg,M45,"the person in the image is a male with a fair skin tone and a smooth texture . his eyes are of medium size, and are framed by thick, dark eyebrows that arch gracefully over them . the person's overall emotional expression is one of happiness and approachability ."
311.jpg,M45,"the person in the image is a male with a fair skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . there is no visible facial hair, such as a beard or mustache ."
