row,original,cleaned,removed_sentences
274,"The person in the image has a fair complexion and is wearing a top. The top is of a light color, possibly white or cream. The person is wearing a necklace that appears to be made of beads or pearls. The necklace is of medium length and hangs around the neck. The person is also wearing earrings that are small and circular. The earrings are of a metallic color, possibly silver or gold. The person is wearing a ring on their left hand, which is of a dark color, possibly black or dark blue. The ring is of a medium size and has a simple design. The person is wearing a bracelet on their left wrist","The person in the image has a fair complexion and is wearing a top. The top is of a light color, possibly white or cream. The person is wearing a necklace that appears to be made of beads or pearls. The necklace is of medium length and hangs around the neck. The person is also wearing earrings that are small and circular. The earrings are of a metallic color, possibly silver or gold. The person is wearing a ring on their left hand, which is of a dark color, possibly black or dark blue. The ring is of a medium size and has a simple design.",[]
542,"The person has a fair complexion and is wearing a light-colored top. They have short, straight hair that is a mix of red and brown. The hair is styled in a casual, loose manner. The person is wearing a pair of sunglasses that have a dark frame. The sunglasses cover the top part of the person's face, leaving only the eyes visible. The person is wearing a pair of earrings that are small and circular. The earrings are made of a shiny material, possibly silver or gold. The person is wearing a pair of hoop earrings that are large and have a metallic finish. The hoops are made of a shiny material, possibly","The person has a fair complexion and is wearing a light-colored top. They have short, straight hair that is a mix of red and brown. The hair is styled in a casual, loose manner. The person is wearing a pair of sunglasses that have a dark frame. The sunglasses cover the top part of the person's face, leaving only the eyes visible. The person is wearing a pair of earrings that are small and circular. The earrings are made of a shiny material, possibly silver or gold. The person is wearing a pair of hoop earrings that are large and have a metallic finish.",[]
566,"The person in the image has a fair complexion and is wearing a top. The top is of a light color, possibly white or cream. The person is wearing a necklace that appears to be made of beads or small stones. The necklace is of a medium length and hangs around the neck. The person is also wearing earrings, which are small and circular. The earrings are of a metallic color, possibly silver or gold. The person is wearing a ring on their finger, which is of a dark color, possibly black or dark blue. The ring is of a medium size and has a simple design. The person is also wearing a bracelet on","The person in the image has a fair complexion and is wearing a top. The top is of a light color, possibly white or cream. The person is wearing a necklace that appears to be made of beads or small stones. The necklace is of a medium length and hangs around the neck. The person is also wearing earrings, which are small and circular. The earrings are of a metallic color, possibly silver or gold. The person is wearing a ring on their finger, which is of a dark color, possibly black or dark blue. The ring is of a medium size and has a simple design.",[]
572,"The person in the image has a fair complexion and is wearing a top. The top is of a light color, possibly white or cream. The person is wearing a necklace that appears to be made of pearls or a similar material. The necklace is of medium length and has a delicate design. The person is also wearing earrings that are small and circular. The earrings are of a metallic color, possibly silver or gold. The person is wearing a pair of sunglasses that are dark and have a classic design. The sunglasses cover the person's eyes and have a slight reflection. The person is wearing a pair of sunglasses that are dark and have a classic","The person in the image has a fair complexion and is wearing a top. The top is of a light color, possibly white or cream. The person is wearing a necklace that appears to be made of pearls or a similar material. The necklace is of medium length and has a delicate design. The person is also wearing earrings that are small and circular. The earrings are of a metallic color, possibly silver or gold. The person is wearing a pair of sunglasses that are dark and have a classic design. The sunglasses cover the person's eyes and have a slight reflection.",[]
951,The person has a medium skin tone and short black hair. They are wearing glasses. The person is wearing a white shirt. The person is wearing a black jacket. The person is wearing a black shirt. The person is wearing a black hat. The person is wearing a black tie. The person is wearing a black coat. The person is wearing a black suit. The person is wearing a black dress. The person is wearing a black scarf. The person is wearing a black belt. The person is wearing a black watch. The person is wearing a black bracelet. The person is wearing a black ring. The person is wearing a black shoe,The person has a medium skin tone and short black hair. They are wearing glasses. The person is wearing a white shirt. The person is wearing a black jacket. The person is wearing a black shirt. The person is wearing a black hat. The person is wearing a black tie. The person is wearing a black coat. The person is wearing a black suit. The person is wearing a black dress. The person is wearing a black scarf. The person is wearing a black belt. The person is wearing a black watch. The person is wearing a black bracelet. The person is wearing a black ring.,[]
1767,"The person in the image has a fair complexion and is wearing a light-colored top. The individual has short, straight hair that is parted in the middle. The hair color is a light brown shade. The person is wearing a pair of sunglasses that cover the eyes and extend down to the cheeks. The sunglasses have a dark frame and lenses. The person is also wearing a pair of earrings that are visible on the left ear. The earrings are small and have a circular design. The person is wearing a pair of hoop earrings that are visible on the right ear. The hoops are thin and have a shiny finish. The person is wearing a pair","The person in the image has a fair complexion and is wearing a light-colored top. The individual has short, straight hair that is parted in the middle. The hair color is a light brown shade. The person is wearing a pair of sunglasses that cover the eyes and extend down to the cheeks. The sunglasses have a dark frame and lenses. The person is also wearing a pair of earrings that are visible on the left ear. The earrings are small and have a circular design. The person is wearing a pair of hoop earrings that are visible on the right ear. The hoops are thin and have a shiny finish.",[]
2250,"The person has a fair complexion, with long, straight blonde hair that falls just past the shoulders. The hair is parted in the middle and appears to be slightly wavy. The person is wearing a white top, which is visible in the image. The top has a high neckline and short sleeves. The person is also wearing a pair of sunglasses, which are dark and have a classic design. The sunglasses cover the eyes and extend down to the nose bridge. The person is holding a black bag, which is slung over the shoulder. The bag is made of a dark material and has a rectangular shape. The person is wearing a pair","The person has a fair complexion, with long, straight blonde hair that falls just past the shoulders. The hair is parted in the middle and appears to be slightly wavy. The person is wearing a white top, which is visible in the image. The top has a high neckline and short sleeves. The person is also wearing a pair of sunglasses, which are dark and have a classic design. The sunglasses cover the eyes and extend down to the nose bridge. The person is holding a black bag, which is slung over the shoulder. The bag is made of a dark material and has a rectangular shape.",[]
2405,"The person in the image has a fair complexion and is wearing a top. The top is of a light color, possibly white or cream. The person is wearing a necklace that appears to be made of beads or pearls. The necklace is of medium length and hangs around the neck. The person is also wearing earrings that are small and circular in shape. The earrings are of a metallic color, possibly silver or gold. The person is wearing a ring on their left hand, which is of a dark color, possibly black or dark blue. The ring is of a medium size and has a simple design. The person is wearing a bracelet on their","The person in the image has a fair complexion and is wearing a top. The top is of a light color, possibly white or cream. The person is wearing a necklace that appears to be made of beads or pearls. The necklace is of medium length and hangs around the neck. The person is also wearing earrings that are small and circular in shape. The earrings are of a metallic color, possibly silver or gold. The person is wearing a ring on their left hand, which is of a dark color, possibly black or dark blue. The ring is of a medium size and has a simple design.",[]
2962,The person in the image has a fair complexion and is wearing a top. The top is black and has a high neckline. The person is wearing a necklace and earrings. The person is also wearing a ring on their left hand. The person is holding a phone in their right hand. The person is wearing a watch on their left wrist. The person is wearing a bracelet on their left wrist. The person is wearing a ring on their right hand. The person is wearing a ring on their left hand. The person is wearing a ring on their right hand. The person is wearing a ring on their left hand. The person is wearing a,The person in the image has a fair complexion and is wearing a top. The top is black and has a high neckline. The person is wearing a necklace and earrings. The person is also wearing a ring on their left hand. The person is holding a phone in their right hand. The person is wearing a watch on their left wrist. The person is wearing a bracelet on their left wrist. The person is wearing a ring on their right hand. The person is wearing a ring on their left hand. The person is wearing a ring on their right hand. The person is wearing a ring on their left hand.,[]
3073,"The person has light skin, short blonde hair, and striking green eyes. They are wearing a green top, which is not the focus of the description. The expression on their face is neutral.","The person has light skin, short blonde hair, and striking green eyes. The expression on their face is neutral.",[]
