row,original,cleaned,removed_sentences
10,"The person in the image is a middle-aged individual with a medium skin tone and a smooth complexion. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped, with a light brown hue, and are set in a way that gives a friendly and approachable expression. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, adding to the balanced facial features. The mouth is closed, revealing a slight smile, with teeth that are slightly visible. There is no visible facial hair, such as a beard or mustache.  The individual has short, dark hair that is neatly combed back, with a slight parting on the side. The hairline is receding slightly, indicating a natural aging process. There are no visible accessories, such as earrings, glasses, or piercings. The skin appears to be free of scars, blemishes, or significant wrinkles, suggesting good skin care or a youthful complexion.  The person's overall emotional expression is calm and content, with a gentle smile that conveys warmth and friendliness. The gaze is directed slightly to the side, giving a sense of attentiveness and engagement with the surroundings.","The person in the image is a middle-aged individual with a medium skin tone and a smooth complexion. The facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped, with a light brown hue, and are set in a way that gives a friendly and approachable expression. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, adding to the balanced facial features. The mouth is closed, revealing a slight smile, with teeth that are slightly visible. There is no visible facial hair, such as a beard or mustache. The individual has short, dark hair that is neatly combed back, with a slight parting on the side. The hairline is receding slightly, indicating a natural aging process. There are no visible accessories, such as earrings, glasses, or piercings. The skin appears to be free of scars, blemishes, or significant wrinkles, suggesting good skin care or a youthful complexion. The person's overall emotional expression is calm and content, with a gentle smile that conveys warmth and friendliness. The gaze is directed slightly to the side, giving a sense of attentiveness and engagement with the surroundings.",[]
30,"The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a prominent and well-defined bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of blue or green. Her eyebrows are thick and well-groomed, arched gracefully above her eyes. The nose is straight and slightly upturned, adding to her expressive facial features. Her mouth is wide, with a bright smile that reveals her teeth, and she appears to be looking directly at the camera, giving a sense of engagement and warmth.  Her hair is a light brown color, styled in loose waves that fall just past her shoulders. The hairline is straight, and there is no visible parting. She is wearing large hoop earrings that add a touch of elegance to her appearance. There are no visible accessories on her face, such as glasses or piercings, and no scars, blemishes, or wrinkles are apparent. Her overall emotional expression is cheerful and inviting, with a direct gaze that suggests confidence and approachability.","The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a prominent and well-defined bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of blue or green. Her eyebrows are thick and well-groomed, arched gracefully above her eyes. The nose is straight and slightly upturned, adding to her expressive facial features. Her mouth is wide, with a bright smile that reveals her teeth, and she appears to be looking directly at the camera, giving a sense of engagement and warmth. Her hair is a light brown color, styled in loose waves that fall just past her shoulders. The hairline is straight, and there is no visible parting. She is wearing large hoop earrings that add a touch of elegance to her appearance. There are no visible accessories on her face, such as glasses or piercings, and no scars, blemishes, or wrinkles are apparent. Her overall emotional expression is cheerful and inviting, with a direct gaze that suggests confidence and approachability.",[]
36,"The individual in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, complementing her overall facial features. Her mouth is closed, showing a slight smile, with visible teeth that are white and straight. There is no visible facial hair, and her skin appears clear and well-maintained.  Her hair is dark, possibly black or dark brown, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of earrings that are small and delicate, adding a subtle touch of elegance to her appearance. There are no visible scars, blemishes, or wrinkles on her face, and her overall expression is calm and composed.  The woman is looking directly at the camera, with her gaze focused and engaging. The image captures her in a close-up shot, highlighting her facial features and expression.","The individual in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, complementing her overall facial features. Her mouth is closed, showing a slight smile, with visible teeth that are white and straight. There is no visible facial hair, and her skin appears clear and well-maintained. Her hair is dark, possibly black or dark brown, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of earrings that are small and delicate, adding a subtle touch of elegance to her appearance. There are no visible scars, blemishes, or wrinkles on her face, and her overall expression is calm and composed. The woman is looking directly at the camera, with her gaze focused and engaging. The image captures her in a close-up shot, highlighting her facial features and expression.",[]
37,"The individual in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced and symmetrical bone structure. Her eyes are almond-shaped, with a dark color that appears to be brown or black. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, showing a slight smile, with visible teeth that are white and straight. There is no visible facial hair, and her skin appears clear and well-maintained.  Her hair is dark, possibly black or dark brown, and styled in a sleek, straight manner. The hairline is neat, and there are no visible partings or designs. She is wearing no visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is calm and composed. She is looking slightly to the side, with her gaze directed towards something off-camera.","The individual in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced and symmetrical bone structure. Her eyes are almond-shaped, with a dark color that appears to be brown or black. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, showing a slight smile, with visible teeth that are white and straight. There is no visible facial hair, and her skin appears clear and well-maintained. Her hair is dark, possibly black or dark brown, and styled in a sleek, straight manner. The hairline is neat, and there are no visible partings or designs. She is wearing no visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is calm and composed. She is looking slightly to the side, with her gaze directed towards something off-camera.",[]
38,"The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light-colored iris, possibly blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is slightly open, revealing a warm smile with visible teeth, exuding a friendly and approachable demeanor. There is no visible facial hair, and her skin appears clear and well-maintained.  Her hair is dark, possibly black or dark brown, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is one of happiness and warmth.  The person is looking directly at the camera, making eye contact, which adds to the engaging and inviting nature of the image.","The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light-colored iris, possibly blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is slightly open, revealing a warm smile with visible teeth, exuding a friendly and approachable demeanor. There is no visible facial hair, and her skin appears clear and well-maintained. Her hair is dark, possibly black or dark brown, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is one of happiness and warmth. The person is looking directly at the camera, making eye contact, which adds to the engaging and inviting nature of the image.",[]
76,"The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of hazel or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is wide, showing a bright smile with white teeth, exuding a cheerful and approachable demeanor. There is no visible facial hair, and her skin appears clear and well-maintained.  Her hair is short and dark, styled in a neat, straight manner. The hairline is straight, and there are no visible partings or designs. She is wearing glasses with a red frame, which adds a pop of color to her appearance. There are no visible accessories such as earrings or piercings. Her expression is one of happiness and warmth, with her eyes looking slightly to the side, giving a sense of engagement and friendliness.  Overall, the person's facial features are distinct and expressive, making her easily recognizable. The combination of her cheerful expression, neat hairstyle, and the distinctive red glasses creates a memorable and unique appearance.","The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of hazel or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is wide, showing a bright smile with white teeth, exuding a cheerful and approachable demeanor. There is no visible facial hair, and her skin appears clear and well-maintained. Her hair is short and dark, styled in a neat, straight manner. The hairline is straight, and there are no visible partings or designs. She is wearing glasses with a red frame, which adds a pop of color to her appearance. There are no visible accessories such as earrings or piercings. Her expression is one of happiness and warmth, with her eyes looking slightly to the side, giving a sense of engagement and friendliness. Overall, the person's facial features are distinct and expressive, making her easily recognizable. The combination of her cheerful expression, neat hairstyle, and the distinctive red glasses creates a memorable and unique appearance.",[]
78,"The person in the image is a woman with medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of hazel or green. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, showing a slight smile, with visible teeth. There is no visible facial hair, and her skin appears clear and well-maintained.  Her hair is short and dark, styled in a neat, straight manner. The hairline is straight, and there are no visible partings or designs. She is wearing glasses with a thin frame, which sit comfortably on her nose. There are no visible accessories such as earrings or piercings. The person's overall expression is calm and composed, with a gentle gaze directed slightly to the side. There are no scars, blemishes, or wrinkles visible on her face. The image captures a moment of tranquility and poise.","The person in the image is a woman with medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of hazel or green. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, showing a slight smile, with visible teeth. There is no visible facial hair, and her skin appears clear and well-maintained. Her hair is short and dark, styled in a neat, straight manner. The hairline is straight, and there are no visible partings or designs. She is wearing glasses with a thin frame, which sit comfortably on her nose. There are no visible accessories such as earrings or piercings. The person's overall expression is calm and composed, with a gentle gaze directed slightly to the side. There are no scars, blemishes, or wrinkles visible on her face. The image captures a moment of tranquility and poise.",[]
80,"The person in the image is a woman with medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a slight smile, showing a set of teeth that are white and even. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is dark, possibly black or dark brown, and is styled in a neat, straight manner. The hairline is straight, and there are no visible partings or designs. She is wearing glasses with a thin frame, which sit comfortably on her nose. The glasses have a slight tint, possibly for reading or to protect her eyes from glare. There are no visible accessories such as earrings or piercings, and no scars or blemishes are present on her face. Her overall expression is calm and composed, with a gentle gaze directed slightly to the left of the camera.","The person in the image is a woman with medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that appears to be a shade of blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a slight smile, showing a set of teeth that are white and even. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is dark, possibly black or dark brown, and is styled in a neat, straight manner. The hairline is straight, and there are no visible partings or designs. She is wearing glasses with a thin frame, which sit comfortably on her nose. The glasses have a slight tint, possibly for reading or to protect her eyes from glare. There are no visible accessories such as earrings or piercings, and no scars or blemishes are present on her face. Her overall expression is calm and composed, with a gentle gaze directed slightly to the left of the camera.",[]
108,"The person in the image is a woman with fair skin and a smooth complexion. Her facial shape is oval, with a balanced and symmetrical bone structure. Her eyes are large and expressive, with a light green color that stands out vividly. The eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is closed in a gentle smile, showing a set of white teeth. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is blonde, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is one of calm and contentment. She is looking directly at the camera, with her eyes making direct contact, conveying a sense of openness and approachability.","The person in the image is a woman with fair skin and a smooth complexion. Her facial shape is oval, with a balanced and symmetrical bone structure. Her eyes are large and expressive, with a light green color that stands out vividly. The eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is closed in a gentle smile, showing a set of white teeth. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is blonde, styled in a sleek, straight manner that falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and her overall expression is one of calm and contentment. She is looking directly at the camera, with her eyes making direct contact, conveying a sense of openness and approachability.",[]
109,"The person in the image is a woman with fair skin and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, expressive eyes with a light color, possibly blue or green, and her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is wide, showing a bright smile with white teeth, and she appears to be in a joyful or happy mood. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is blonde, styled in a straight, shoulder-length cut with a slight wave. The hairline is neat, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and she appears to be in good health.  Her overall emotional expression is cheerful and inviting, with a direct gaze that suggests confidence and approachability. The direction of her eyes is forward, engaging the viewer in a friendly manner.","The person in the image is a woman with fair skin and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, expressive eyes with a light color, possibly blue or green, and her eyebrows are thick and well-groomed, arching gracefully above her eyes. Her nose is straight and of medium size, complementing her overall facial features. Her mouth is wide, showing a bright smile with white teeth, and she appears to be in a joyful or happy mood. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is blonde, styled in a straight, shoulder-length cut with a slight wave. The hairline is neat, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face, and she appears to be in good health. Her overall emotional expression is cheerful and inviting, with a direct gaze that suggests confidence and approachability. The direction of her eyes is forward, engaging the viewer in a friendly manner.",[]
