row,original,cleaned,removed_sentences
3,"The individual in the image appears to be a person with a medium skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light-colored iris that reflects a hint of purple, suggesting a possible light or blue hue. The eyebrows are thick and arched, framing the eyes. The nose is straight and of average size, with a smooth texture. The mouth is closed, showing a neutral expression, with no visible teeth. There is no visible facial hair, such as a beard or mustache, and the hairline is not clearly visible due to the angle and lighting of the image.  The person is wearing glasses with a round frame, which partially obscures the eyes. The glasses have a reflective surface, showing a colorful, abstract pattern that appears to be a mix of yellow, green, and purple hues. There are no visible accessories such as earrings or piercings. The overall emotional expression is neutral, with the gaze directed slightly to the side, not making direct eye contact with the camera. The person's overall appearance is distinctive due to the unique reflection in the glasses and the smooth, unblemished skin tone.","The individual in the image appears to be a person with a medium skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light-colored iris that reflects a hint of purple, suggesting a possible light or blue hue. The eyebrows are thick and arched, framing the eyes. The nose is straight and of average size, with a smooth texture. The mouth is closed, showing a neutral expression, with no visible teeth. There is no visible facial hair, such as a beard or mustache, and the hairline is not clearly visible due to the angle and lighting of the image. The person is wearing glasses with a round frame, which partially obscures the eyes. The glasses have a reflective surface, showing a colorful, abstract pattern that appears to be a mix of yellow, green, and purple hues. There are no visible accessories such as earrings or piercings. The overall emotional expression is neutral, with the gaze directed slightly to the side, not making direct eye contact with the camera. The person's overall appearance is distinctive due to the unique reflection in the glasses and the smooth, unblemished skin tone.",[]
4,"The person in the image appears to be a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and round, with a light-colored iris, possibly blue or green. His eyebrows are thick and arched, framing his eyes. The nose is straight and medium-sized, with a slight curve at the tip. His mouth is closed, with a neutral expression, and his teeth are not visible. He has a light beard and mustache, which are neatly groomed and well-maintained.  The person has short, dark hair that is neatly combed back, with a slight parting on the side. His hairline is receding slightly. He is wearing glasses with a thin frame, which sit comfortably on his nose. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and he is looking directly at the camera, with his eyes appearing to be focused and attentive. There are no visible scars, blemishes, or wrinkles on his face. The person's overall appearance is clean and well-groomed, with a distinctive facial structure that sets him apart from others.","The person in the image appears to be a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and round, with a light-colored iris, possibly blue or green. His eyebrows are thick and arched, framing his eyes. The nose is straight and medium-sized, with a slight curve at the tip. His mouth is closed, with a neutral expression, and his teeth are not visible. He has a light beard and mustache, which are neatly groomed and well-maintained. The person has short, dark hair that is neatly combed back, with a slight parting on the side. His hairline is receding slightly. He is wearing glasses with a thin frame, which sit comfortably on his nose. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and he is looking directly at the camera, with his eyes appearing to be focused and attentive. There are no visible scars, blemishes, or wrinkles on his face. The person's overall appearance is clean and well-groomed, with a distinctive facial structure that sets him apart from others.",[]
11,"The person in the image appears to be a young woman with a fair skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a striking shade of blue, which stand out against her fair skin. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, showing a slight smile, with visible teeth that are white and straight. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant mix of orange, green, and yellow, suggesting a scarf or a piece of clothing with a striped pattern. The scarf is wrapped around her neck, partially covering her face, which adds a touch of color and warmth to the image. She is wearing glasses with a thin, metallic frame that sits comfortably on her nose. The glasses have a classic, round design that complements her face shape.  The person's overall expression is calm and relaxed, with a gentle gaze directed slightly to the side. The image captures a moment of quiet contemplation or perhaps a candid moment of the person's day. The focus on her face and the soft lighting create a","The person in the image appears to be a young woman with a fair skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a striking shade of blue, which stand out against her fair skin. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, showing a slight smile, with visible teeth that are white and straight. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant mix of orange, green, and yellow, suggesting a scarf or a piece of clothing with a striped pattern. The scarf is wrapped around her neck, partially covering her face, which adds a touch of color and warmth to the image. She is wearing glasses with a thin, metallic frame that sits comfortably on her nose. The glasses have a classic, round design that complements her face shape. The person's overall expression is calm and relaxed, with a gentle gaze directed slightly to the side. The image captures a moment of quiet contemplation or perhaps a candid moment of the person's day.",[]
14,"The person in the image appears to be a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light brown color, with a gentle gaze that suggests a calm and composed demeanor. Her eyebrows are thick and well-groomed, framing her eyes nicely. The nose is straight and of average size, with a smooth texture. Her mouth is closed, showing a slight hint of teeth, and her expression is neutral, conveying a sense of tranquility.  Her hair is dark brown, styled in a straight manner, and falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is wearing a scarf that covers her neck and part of her face, adding a layer of color and texture to her appearance. The scarf is multicolored, with shades of blue, green, and brown, which contrasts with her skin tone and adds a vibrant touch to her look.  There are no visible accessories such as earrings, glasses, or piercings. Her overall emotional expression is serene, and her gaze is directed slightly to the side, giving a sense of contemplation or introspection. There are no visible scars, blemishes, or","The person in the image appears to be a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light brown color, with a gentle gaze that suggests a calm and composed demeanor. Her eyebrows are thick and well-groomed, framing her eyes nicely. The nose is straight and of average size, with a smooth texture. Her mouth is closed, showing a slight hint of teeth, and her expression is neutral, conveying a sense of tranquility. Her hair is dark brown, styled in a straight manner, and falls just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is wearing a scarf that covers her neck and part of her face, adding a layer of color and texture to her appearance. The scarf is multicolored, with shades of blue, green, and brown, which contrasts with her skin tone and adds a vibrant touch to her look. There are no visible accessories such as earrings, glasses, or piercings. Her overall emotional expression is serene, and her gaze is directed slightly to the side, giving a sense of contemplation or introspection.",[]
16,"The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, expressive eyes with a dark color, possibly brown or black. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, complementing her overall facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant shade of red, styled in loose waves that frame her face. The hairline is straight, and there are no visible partings or designs. She is wearing a scarf that covers her neck and part of her face, featuring a colorful pattern with shades of red, green, and blue. The scarf adds a pop of color to her appearance and partially obscures her mouth and chin.  The person's overall emotional expression appears neutral, and her gaze is directed slightly to the side, not making direct eye contact with the camera. The image captures a moment of stillness, with no visible accessories such as earrings, glasses, or piercings. The person's unique traits, such as her","The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, expressive eyes with a dark color, possibly brown or black. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, complementing her overall facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant shade of red, styled in loose waves that frame her face. The hairline is straight, and there are no visible partings or designs. She is wearing a scarf that covers her neck and part of her face, featuring a colorful pattern with shades of red, green, and blue. The scarf adds a pop of color to her appearance and partially obscures her mouth and chin. The person's overall emotional expression appears neutral, and her gaze is directed slightly to the side, not making direct eye contact with the camera. The image captures a moment of stillness, with no visible accessories such as earrings, glasses, or piercings.",[]
27,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is dark, possibly brown or black, and it is styled in a straight, sleek manner. The hairline is straight, and there are no visible partings or designs. She is wearing a dark-colored garment that covers her mouth, obscuring any further details about her accessories or unique facial features. The overall emotional expression is neutral, and her gaze is directed slightly to the side, not making direct eye contact with the camera.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is dark, possibly brown or black, and it is styled in a straight, sleek manner. The hairline is straight, and there are no visible partings or designs. She is wearing a dark-colored garment that covers her mouth, obscuring any further details about her accessories or unique facial features. The overall emotional expression is neutral, and her gaze is directed slightly to the side, not making direct eye contact with the camera.",[]
30,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a striking shade of brown, with a slight hint of green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and a slightly curved tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant shade of red, styled in loose waves that fall just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is wearing a scarf that covers her mouth and chin, adding a touch of color to her appearance. The scarf is a mix of dark and light colors, creating a striking contrast against her skin.  The person's overall emotional expression is neutral, with a slight hint of curiosity in her eyes. She is looking directly at the camera, engaging the viewer with her gaze.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a striking shade of brown, with a slight hint of green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and a slightly curved tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant shade of red, styled in loose waves that fall just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is wearing a scarf that covers her mouth and chin, adding a touch of color to her appearance. The scarf is a mix of dark and light colors, creating a striking contrast against her skin. The person's overall emotional expression is neutral, with a slight hint of curiosity in her eyes. She is looking directly at the camera, engaging the viewer with her gaze.",[]
56,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a striking shade of green, with a slight hint of hazel. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, showing a slight smile, with visible teeth. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant shade of red, styled in a straight, shoulder-length cut. The hairline is neat, with no visible parting. The texture of her hair is smooth and shiny. There are no visible accessories, piercings, or scars on her face. Her overall expression is calm and serene, with a gentle gaze directed slightly to the left of the camera.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a striking shade of green, with a slight hint of hazel. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, showing a slight smile, with visible teeth. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant shade of red, styled in a straight, shoulder-length cut. The hairline is neat, with no visible parting. The texture of her hair is smooth and shiny. There are no visible accessories, piercings, or scars on her face. Her overall expression is calm and serene, with a gentle gaze directed slightly to the left of the camera.",[]
58,"The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped and a vibrant green color, with a slight hint of a reddish tint, possibly due to the lighting or a filter applied to the image. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth texture. The mouth is closed, showing a neutral expression, with no visible teeth. There is no visible facial hair, and the skin appears clear and unblemished.  The individual has short, straight hair that is a mix of red and brown, styled in a casual, tousled manner. The hairline is straight, and there are no visible partings or designs. The person is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, wrinkles, or other unique facial features that stand out.  The overall emotional expression of the person is neutral, with a slight hint of curiosity or contemplation. The gaze is directed slightly to the left of the camera, giving a sense of engagement with something or someone off-frame.","The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped and a vibrant green color, with a slight hint of a reddish tint, possibly due to the lighting or a filter applied to the image. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth texture. The mouth is closed, showing a neutral expression, with no visible teeth. There is no visible facial hair, and the skin appears clear and unblemished. The individual has short, straight hair that is a mix of red and brown, styled in a casual, tousled manner. The hairline is straight, and there are no visible partings or designs. The person is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, wrinkles, or other unique facial features that stand out. The overall emotional expression of the person is neutral, with a slight hint of curiosity or contemplation. The gaze is directed slightly to the left of the camera, giving a sense of engagement with something or someone off-frame.",[]
60,"The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped and a striking shade of green, with a slight hint of hazel. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth bridge and a slightly curved tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin around the mouth and nose appears smooth and unblemished.  The individual has short, straight hair that is a vibrant red color. The hairline is straight, and there are no visible partings or designs. The hair is neatly styled, and the color is consistent throughout. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall emotional expression is neutral, with a slight hint of curiosity or contemplation. The gaze is directed slightly to the left of the camera, giving a sense of engagement with something off-frame.","The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped and a striking shade of green, with a slight hint of hazel. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth bridge and a slightly curved tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin around the mouth and nose appears smooth and unblemished. The individual has short, straight hair that is a vibrant red color. The hairline is straight, and there are no visible partings or designs. The hair is neatly styled, and the color is consistent throughout. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall emotional expression is neutral, with a slight hint of curiosity or contemplation. The gaze is directed slightly to the left of the camera, giving a sense of engagement with something off-frame.",[]
