filename,category,caption
1004.jpg,M44,"The person in the image is a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are of medium size, with a light-colored iris, and are set in a slightly almond shape. His eyebrows are thick and arched, framing his eyes. The nose is straight and of average size, with a smooth bridge and tip. His mouth is wide open in a joyful expression, revealing a set of teeth, and he appears to be laughing or smiling broadly. There is no visible facial hair, such as a beard or mustache. His hair is dark, short, and neatly styled, with a slight parting on the side. He is wearing glasses with a thin frame, which reflect some light. There are no visible accessories, scars, blemishes, or wrinkles. His overall emotional expression is one of happiness or excitement, and he is looking directly at the camera."
303.jpg,M44,"The individual in the image is a person with a medium skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped and a light blue color, giving a striking appearance. The eyebrows are thick and arched, framing the eyes. The nose is straight and of average size, with a smooth texture. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is dark, short, and neatly styled, with a parting on the side. There are no visible accessories, such as earrings or glasses, and no scars, blemishes, or wrinkles. The overall emotional expression is neutral, and the gaze is directed straight ahead."
1002.jpg,M44,"The person in the image is a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and round, with a light blue color that stands out against his fair skin. His eyebrows are thick and arched, framing his eyes. The nose is straight and medium-sized, with a slight curve at the tip. His mouth is closed, showing a slight smile, with visible teeth. There is no visible facial hair, and his hair is short, dark, and neatly groomed. He is wearing glasses with a round frame that complements his face shape. The person's overall expression is neutral, with a slight hint of a smile, and he is looking directly at the camera."
1006.jpg,M44,"The person in the image appears to be a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and round, with a light-colored iris, possibly blue or green. His eyebrows are thick and arched, framing his eyes. The nose is straight and of medium size, with a slight curve at the tip. His mouth is closed, with a neutral expression, and his teeth are not visible. There is no visible facial hair, such as a beard or mustache. His hair is short, dark, and neatly styled, with a slight parting on the side. He is wearing glasses with a thin frame, which cover his eyes. There are no visible accessories, scars, blemishes, or wrinkles. His overall emotional expression is neutral, and he is looking directly at the camera."
302.jpg,M44,"The individual in the image appears to be a person with a medium skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped with a light color, possibly blue or green, and are accentuated by a pair of round, thin-rimmed glasses. The eyebrows are thick and arched, framing the eyes. The nose is straight and of average size, with a smooth texture. The mouth is closed, showing a slight smile, with visible teeth. There is no visible facial hair, such as a beard or mustache. The hair is not visible in the image, so no information about its color, style, or texture can be provided. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall expression is neutral to slightly cheerful, with a direct gaze that suggests engagement with the viewer."
1007.jpg,M44,"The individual in the image has a medium skin tone with a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light-colored iris, possibly blue or green. The eyebrows are thick and well-groomed, arching slightly above the eyes. The nose is straight and of average size, with a smooth bridge. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is short, dark, and neatly styled, with a side parting. The hairline is straight and even. There are no visible accessories, such as earrings or glasses, and no scars, blemishes, or wrinkles are present. The overall emotional expression is neutral, and the gaze is directed slightly to the left."
1005.jpg,M44,"The individual in the image appears to be a person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light color, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth bridge. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is dark, short, and neatly styled, with a side parting. The hairline is straight and clean, with no visible scars or blemishes. The person is wearing glasses with a round frame, which sit comfortably on the nose. The overall emotional expression is neutral, and the gaze is directed slightly to the left of the camera."
304.jpg,M44,"The person in the image is a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are of medium size, with a light-colored iris, and are framed by thick, dark eyebrows. The nose is straight and of average size, with a slight curve at the tip. His mouth is wide open in a joyful expression, revealing a set of white teeth. There is no visible facial hair, such as a beard or mustache. His hair is dark, short, and neatly styled, with a slight parting on the side. He is wearing glasses with a thin frame, which reflect some light. There are no visible accessories, scars, blemishes, or wrinkles. His overall emotional expression is one of happiness and excitement, with his gaze directed slightly to the left."
1003.jpg,M44,"The individual in the image is a person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped and a striking blue color. The eyebrows are thick and arched, framing the eyes. The nose is straight and of medium size, with a slight curve at the tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is dark, short, and neatly styled, with a parting on the side. There are no visible accessories, such as earrings or glasses, and no scars, blemishes, or wrinkles. The overall emotional expression is neutral, and the gaze is directed slightly to the left."
307.jpg,M44,"The person in the image is a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and round, with a light blue color that stands out against his fair skin. His eyebrows are thick and arched, framing his eyes. The nose is straight and medium-sized, with a slight curve at the tip. His mouth is closed, with a neutral expression, and his teeth are not visible. There is no visible facial hair, such as a beard or mustache. His hair is short, dark, and neatly groomed, with a side parting. He is wearing glasses with a round frame that complements his face shape. There are no visible accessories, scars, blemishes, or wrinkles. His overall emotional expression appears neutral, and he is looking directly at the camera."
