row,original,cleaned,removed_sentences
37,"The person in the image appears to be a young woman with a fair skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light green color, giving her a striking and expressive look. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, complementing her overall facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is light brown, styled in a straight, shoulder-length cut with a slight wave. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of white-framed glasses that sit comfortably on her nose, adding a touch of intellectual charm to her appearance. There are no visible accessories such as earrings or piercings, and her overall look is clean and polished.  The person's emotional expression is neutral, with a slight hint of curiosity in her eyes. She is looking directly at the camera, engaging the viewer with her gaze. The overall impression is one of calm and approachability, with a hint of intellectual curiosity.","The person in the image appears to be a young woman with a fair skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light green color, giving her a striking and expressive look. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of medium size, complementing her overall facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is light brown, styled in a straight, shoulder-length cut with a slight wave. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of white-framed glasses that sit comfortably on her nose, adding a touch of intellectual charm to her appearance. There are no visible accessories such as earrings or piercings, and her overall look is clean and polished. The person's emotional expression is neutral, with a slight hint of curiosity in her eyes. She is looking directly at the camera, engaging the viewer with her gaze. The overall impression is one of calm and approachability, with a hint of intellectual curiosity.",[]
48,"The person in the image appears to be a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light color, possibly blue or green. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of average size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is dark, possibly black or dark brown, and it is styled in a straight, sleek manner. The hairline is straight, and there are no visible partings or designs. She is wearing glasses with a thin, metallic frame that sits comfortably on her nose. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and her gaze is directed slightly to the left of the camera.","The person in the image appears to be a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light color, possibly blue or green. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of average size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is dark, possibly black or dark brown, and it is styled in a straight, sleek manner. The hairline is straight, and there are no visible partings or designs. She is wearing glasses with a thin, metallic frame that sits comfortably on her nose. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and her gaze is directed slightly to the left of the camera.",[]
50,"The person in the image appears to be a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light-colored iris, possibly green or hazel. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of average size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is dark, possibly black or dark brown, and it is styled in a straight, shoulder-length cut. The hairline is straight, and there are no visible partings or designs. She is wearing glasses with a thin, white frame, which sit comfortably on her nose. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and she is looking directly at the camera, with her eyes focused and her gaze steady.","The person in the image appears to be a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light-colored iris, possibly green or hazel. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of average size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is dark, possibly black or dark brown, and it is styled in a straight, shoulder-length cut. The hairline is straight, and there are no visible partings or designs. She is wearing glasses with a thin, white frame, which sit comfortably on her nose. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and she is looking directly at the camera, with her eyes focused and her gaze steady.",[]
56,"The person in the image appears to be a young woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light blue color, giving her a striking and expressive look. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, complementing her overall facial features. Her mouth is closed, with a subtle smile, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is dark and appears to be of medium length, styled in a casual, tousled manner. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of round, clear-framed glasses that sit comfortably on her nose. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and her gaze is directed slightly to the left of the camera.","The person in the image appears to be a young woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped and a light blue color, giving her a striking and expressive look. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, complementing her overall facial features. Her mouth is closed, with a subtle smile, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is dark and appears to be of medium length, styled in a casual, tousled manner. The hairline is straight, and there are no visible partings or designs. She is wearing a pair of round, clear-framed glasses that sit comfortably on her nose. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and her gaze is directed slightly to the left of the camera.",[]
58,"The person in the image is a young woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, almond-shaped eyes with a light color, possibly blue or green. Her eyebrows are thick and well-groomed, arched slightly, and frame her eyes nicely. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear with a few natural blemishes.  Her hair is dark, possibly black or dark brown, and appears to be of medium length. It is styled in a straight manner, with a slight wave at the ends. The hairline is straight, and there are no visible partings or designs. She is wearing round, white-framed glasses that cover her eyes completely. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and she is looking directly at the camera with a soft gaze.","The person in the image is a young woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. She has large, almond-shaped eyes with a light color, possibly blue or green. Her eyebrows are thick and well-groomed, arched slightly, and frame her eyes nicely. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear with a few natural blemishes. Her hair is dark, possibly black or dark brown, and appears to be of medium length. It is styled in a straight manner, with a slight wave at the ends. The hairline is straight, and there are no visible partings or designs. She is wearing round, white-framed glasses that cover her eyes completely. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and she is looking directly at the camera with a soft gaze.",[]
62,"The person in the image is a woman with fair skin and a smooth texture. Her facial shape is oval, with a prominent and well-defined bone structure. Her eyes are almond-shaped with a light blue color, and they are accentuated by thick, well-groomed eyebrows. The nose is straight and of medium size, with a smooth texture. Her mouth is closed, showing a slight smile, and her teeth are visible. There is no visible facial hair.  She has light brown hair, styled in a straight, shoulder-length cut with a parting on the side. The hairline is neat, and there are no visible scars or blemishes. She is wearing glasses with a white frame, which cover her eyes. The overall emotional expression is neutral, and she is looking directly at the camera.","The person in the image is a woman with fair skin and a smooth texture. Her facial shape is oval, with a prominent and well-defined bone structure. Her eyes are almond-shaped with a light blue color, and they are accentuated by thick, well-groomed eyebrows. The nose is straight and of medium size, with a smooth texture. Her mouth is closed, showing a slight smile, and her teeth are visible. There is no visible facial hair. She has light brown hair, styled in a straight, shoulder-length cut with a parting on the side. The hairline is neat, and there are no visible scars or blemishes. She is wearing glasses with a white frame, which cover her eyes. The overall emotional expression is neutral, and she is looking directly at the camera.",[]
64,"The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. She has large, almond-shaped eyes with a light green hue, and her eyebrows are thick and well-groomed, arched slightly. Her nose is medium-sized and straight, with a slight curve at the tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair.  She is wearing a pair of thin, oval-shaped glasses with a metallic frame. Her hair is dark and appears to be short, with a straight texture. The hairline is visible, and there is no visible parting or design. There are no visible accessories, scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and she is looking directly at the camera.","The person in the image is a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. She has large, almond-shaped eyes with a light green hue, and her eyebrows are thick and well-groomed, arched slightly. Her nose is medium-sized and straight, with a slight curve at the tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair. She is wearing a pair of thin, oval-shaped glasses with a metallic frame. Her hair is dark and appears to be short, with a straight texture. The hairline is visible, and there is no visible parting or design. There are no visible accessories, scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and she is looking directly at the camera.",[]
68,"The person in the image appears to be a young woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light-colored iris, possibly blue or green. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is light brown, styled in a straight, shoulder-length cut with a side parting. The hairline is neat, and there are no visible accessories or unique traits in her hair. She is wearing glasses with a thin, metallic frame, which sit comfortably on her nose. There are no visible piercings or other accessories on her face.  The person's overall emotional expression is neutral, with a slight hint of curiosity or mild interest. Her gaze is directed slightly to the side, not making direct eye contact with the camera.","The person in the image appears to be a young woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light-colored iris, possibly blue or green. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is light brown, styled in a straight, shoulder-length cut with a side parting. The hairline is neat, and there are no visible accessories or unique traits in her hair. She is wearing glasses with a thin, metallic frame, which sit comfortably on her nose. There are no visible piercings or other accessories on her face. The person's overall emotional expression is neutral, with a slight hint of curiosity or mild interest. Her gaze is directed slightly to the side, not making direct eye contact with the camera.",[]
70,"The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a prominent and well-defined bone structure. She has large, almond-shaped eyes with a light blue color, giving her a striking and expressive look. Her eyebrows are thick and arched, framing her eyes beautifully. The nose is straight and well-proportioned, adding to her balanced facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is light brown, styled in a straight, shoulder-length cut with a side parting. The hairline is neat, and there are no visible scars or blemishes on her face. She is wearing a pair of round, wire-framed glasses that sit comfortably on her nose. The glasses have a thin, metallic frame that complements her overall look.  The person's overall emotional expression is neutral, and she is looking directly at the camera, making eye contact with the viewer. The image has a yellowish tint, which may affect the perception of her skin tone and the details of her facial features.","The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a prominent and well-defined bone structure. She has large, almond-shaped eyes with a light blue color, giving her a striking and expressive look. Her eyebrows are thick and arched, framing her eyes beautifully. The nose is straight and well-proportioned, adding to her balanced facial features. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is light brown, styled in a straight, shoulder-length cut with a side parting. The hairline is neat, and there are no visible scars or blemishes on her face. She is wearing a pair of round, wire-framed glasses that sit comfortably on her nose. The glasses have a thin, metallic frame that complements her overall look. The person's overall emotional expression is neutral, and she is looking directly at the camera, making eye contact with the viewer. The image has a yellowish tint, which may affect the perception of her skin tone and the details of her facial features.",[]
71,"The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a prominent and well-defined bone structure. Her eyes are almond-shaped with a light brown color, and they are expressive, giving her a thoughtful and slightly serious expression. Her eyebrows are thick and arched, framing her eyes nicely. The nose is straight and well-proportioned, with a slight curve at the tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant red, styled in loose waves that fall just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is one of contemplation, and her gaze is directed slightly to the left of the camera.","The person in the image is a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a prominent and well-defined bone structure. Her eyes are almond-shaped with a light brown color, and they are expressive, giving her a thoughtful and slightly serious expression. Her eyebrows are thick and arched, framing her eyes nicely. The nose is straight and well-proportioned, with a slight curve at the tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant red, styled in loose waves that fall just above her shoulders. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is one of contemplation, and her gaze is directed slightly to the left of the camera.",[]
