row,original,cleaned,removed_sentences
8,"The person in the image appears to be a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are of medium size, with a light-colored iris, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above his eyes. His nose is straight and of average size, with a smooth bridge and tip. The mouth is closed, showing a slight smile, with visible teeth. There is no visible facial hair, such as a beard or mustache, and his grooming appears meticulous.  His hair is dark, possibly black or very dark brown, and is styled in a short, neat cut. The hairline is straight, and there are no visible partings or designs. He is wearing glasses with a thin frame, which sit comfortably on his nose. There are no visible accessories such as earrings or piercings. The person's overall expression is neutral to slightly cheerful, with a gentle gaze directed slightly to the left of the camera.","The person in the image appears to be a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are of medium size, with a light-colored iris, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above his eyes. His nose is straight and of average size, with a smooth bridge and tip. The mouth is closed, showing a slight smile, with visible teeth. There is no visible facial hair, such as a beard or mustache, and his grooming appears meticulous. His hair is dark, possibly black or very dark brown, and is styled in a short, neat cut. The hairline is straight, and there are no visible partings or designs. He is wearing glasses with a thin frame, which sit comfortably on his nose. There are no visible accessories such as earrings or piercings. The person's overall expression is neutral to slightly cheerful, with a gentle gaze directed slightly to the left of the camera.",[]
30,"The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light color, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin appears clear and unblemished.  The individual has short, straight hair that is a light brown color. The hairline is straight, and there are no visible partings or designs. The hair is neatly styled, and there are no accessories such as earrings, glasses, or piercings visible. The overall emotional expression is neutral, and the gaze is directed slightly to the left of the camera.  This person's unique facial features, including the almond-shaped eyes, thick eyebrows, and straight, short hair, help distinguish them from others. The smooth skin tone and clear complexion also contribute to their distinctive appearance.","The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light color, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin appears clear and unblemished. The individual has short, straight hair that is a light brown color. The hairline is straight, and there are no visible partings or designs. The hair is neatly styled, and there are no accessories such as earrings, glasses, or piercings visible. The overall emotional expression is neutral, and the gaze is directed slightly to the left of the camera. This person's unique facial features, including the almond-shaped eyes, thick eyebrows, and straight, short hair, help distinguish them from others. The smooth skin tone and clear complexion also contribute to their distinctive appearance.",[]
33,"The person in the image appears to be a young female with a fair skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are of medium size, with a light-colored iris, possibly blue or green. The eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of average size, complementing her overall facial features. Her mouth is closed in a neutral expression, showing a slight hint of teeth. There is no visible facial hair, and her skin appears smooth without any noticeable blemishes or scars.  Her hair is light brown, styled in a straight, shoulder-length cut with a slight wave. The hairline is straight, and there are no visible partings or designs. She is wearing glasses with a thin, metallic frame that sits comfortably on her nose. The glasses have a classic, round shape that frames her eyes nicely. There are no visible accessories such as earrings or piercings, and the overall grooming is neat and tidy.  The person's overall emotional expression is neutral, with a slight hint of a smile. Her gaze is directed slightly to the side, not making direct eye contact with the camera. The image is slightly blurred, making it difficult to discern finer details","The person in the image appears to be a young female with a fair skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are of medium size, with a light-colored iris, possibly blue or green. The eyebrows are thin and neatly groomed, arching gracefully above her eyes. Her nose is straight and of average size, complementing her overall facial features. Her mouth is closed in a neutral expression, showing a slight hint of teeth. There is no visible facial hair, and her skin appears smooth without any noticeable blemishes or scars. Her hair is light brown, styled in a straight, shoulder-length cut with a slight wave. The hairline is straight, and there are no visible partings or designs. She is wearing glasses with a thin, metallic frame that sits comfortably on her nose. The glasses have a classic, round shape that frames her eyes nicely. There are no visible accessories such as earrings or piercings, and the overall grooming is neat and tidy. The person's overall emotional expression is neutral, with a slight hint of a smile. Her gaze is directed slightly to the side, not making direct eye contact with the camera.",[]
40,"The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light color, possibly blue or green. The eyebrows are thin and neatly groomed, arching slightly above the eyes. The nose is straight and of average size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin appears clear and unblemished.  The individual has short, straight hair that is a light brown color. The hairline is straight, and there are no visible partings or designs. The hair is neatly styled, and there are no accessories such as earrings, glasses, or piercings visible. The overall emotional expression is neutral, with a slight hint of curiosity or mild interest. The gaze is directed slightly to the side, not making direct eye contact with the camera.","The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light color, possibly blue or green. The eyebrows are thin and neatly groomed, arching slightly above the eyes. The nose is straight and of average size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin appears clear and unblemished. The individual has short, straight hair that is a light brown color. The hairline is straight, and there are no visible partings or designs. The hair is neatly styled, and there are no accessories such as earrings, glasses, or piercings visible. The overall emotional expression is neutral, with a slight hint of curiosity or mild interest. The gaze is directed slightly to the side, not making direct eye contact with the camera.",[]
48,"The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are of medium size, with a light-colored iris, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of average size, with a smooth bridge and tip. The mouth is open in a wide, joyful expression, revealing a set of teeth that are slightly visible. There is no visible facial hair, such as a beard or mustache, and the skin around the mouth and nose appears smooth and unblemished.  The individual has short, dark hair that is neatly styled, with a slight wave or curl. The hairline is straight, and there are no visible partings or designs. The hair texture appears to be straight and smooth. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall emotional expression is one of happiness and excitement, with a direct gaze that suggests engagement with the viewer.","The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are of medium size, with a light-colored iris, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of average size, with a smooth bridge and tip. The mouth is open in a wide, joyful expression, revealing a set of teeth that are slightly visible. There is no visible facial hair, such as a beard or mustache, and the skin around the mouth and nose appears smooth and unblemished. The individual has short, dark hair that is neatly styled, with a slight wave or curl. The hairline is straight, and there are no visible partings or designs. The hair texture appears to be straight and smooth. There are no visible accessories, such as earrings, glasses, or piercings. The person's overall emotional expression is one of happiness and excitement, with a direct gaze that suggests engagement with the viewer.",[]
49,"The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped and of a light color, possibly blue or green. The eyebrows are thin and neatly groomed, arching gracefully above the eyes. The nose is straight and of average size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin appears clear and unblemished.  The individual has short, dark hair that is neatly styled, with a slight wave. The hairline is straight, and there are no visible partings or designs. The hair texture appears to be straight and smooth. The person is wearing glasses with a thin frame, which sit comfortably on the nose. There are no visible accessories such as earrings or piercings.  The overall emotional expression of the person is neutral, with a slight hint of curiosity or contemplation. The gaze is directed slightly to the left of the camera, giving a sense of engagement with something off-frame.","The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped and of a light color, possibly blue or green. The eyebrows are thin and neatly groomed, arching gracefully above the eyes. The nose is straight and of average size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin appears clear and unblemished. The individual has short, dark hair that is neatly styled, with a slight wave. The hairline is straight, and there are no visible partings or designs. The hair texture appears to be straight and smooth. The person is wearing glasses with a thin frame, which sit comfortably on the nose. There are no visible accessories such as earrings or piercings. The overall emotional expression of the person is neutral, with a slight hint of curiosity or contemplation. The gaze is directed slightly to the left of the camera, giving a sense of engagement with something off-frame.",[]
51,"The person in the image appears to be a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light-colored iris, possibly blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of average size, with a smooth bridge and tip. Her mouth is closed, showing a neutral expression, with visible teeth. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is dark, possibly black or dark brown, and appears to be of medium length. It is styled in a straight manner, with a parting that is not clearly visible. There are no visible accessories such as earrings, glasses, or piercings. The person's overall emotional expression is neutral, and her gaze is directed slightly to the side, not making direct eye contact with the camera.","The person in the image appears to be a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light-colored iris, possibly blue or green. Her eyebrows are thick and well-groomed, arching gracefully above her eyes. The nose is straight and of average size, with a smooth bridge and tip. Her mouth is closed, showing a neutral expression, with visible teeth. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is dark, possibly black or dark brown, and appears to be of medium length. It is styled in a straight manner, with a parting that is not clearly visible. There are no visible accessories such as earrings, glasses, or piercings. The person's overall emotional expression is neutral, and her gaze is directed slightly to the side, not making direct eye contact with the camera.",[]
54,"The individual in the image appears to be a person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light color that could be described as a soft, pale hue. The eyebrows are thin and neatly groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth surface. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin appears clear and unblemished.  The person has light-colored hair, styled in a casual, tousled manner. The hairline is straight, and there are no visible partings or designs. The texture of the hair is soft and appears to be of medium length. There are no visible accessories, such as earrings, glasses, or piercings. The overall emotional expression is neutral, with a slight hint of calmness. The gaze is directed slightly to the left, giving a sense of contemplation or focus on something off-camera.","The individual in the image appears to be a person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light color that could be described as a soft, pale hue. The eyebrows are thin and neatly groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth surface. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin appears clear and unblemished. The person has light-colored hair, styled in a casual, tousled manner. The hairline is straight, and there are no visible partings or designs. The texture of the hair is soft and appears to be of medium length. There are no visible accessories, such as earrings, glasses, or piercings. The overall emotional expression is neutral, with a slight hint of calmness. The gaze is directed slightly to the left, giving a sense of contemplation or focus on something off-camera.",[]
55,"The individual in the image appears to be a person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light color that could be described as a soft, pale hue. The eyebrows are thin and neatly groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth surface. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin appears clear and unblemished.  The person has light-colored hair, styled in a casual, tousled manner. The hairline is straight, and there are no visible partings or designs. The texture of the hair is soft and appears to be of medium length. There are no visible accessories, such as earrings, glasses, or piercings. The overall emotional expression is neutral, with a slight hint of contemplation. The gaze is directed slightly to the side, giving a sense of introspection or focus on something off-camera.","The individual in the image appears to be a person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light color that could be described as a soft, pale hue. The eyebrows are thin and neatly groomed, arching gracefully above the eyes. The nose is straight and of medium size, with a smooth surface. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the skin appears clear and unblemished. The person has light-colored hair, styled in a casual, tousled manner. The hairline is straight, and there are no visible partings or designs. The texture of the hair is soft and appears to be of medium length. There are no visible accessories, such as earrings, glasses, or piercings. The overall emotional expression is neutral, with a slight hint of contemplation. The gaze is directed slightly to the side, giving a sense of introspection or focus on something off-camera.",[]
57,"The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished.  Her hair is a vibrant red, styled in a straight, shoulder-length cut. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and she is looking directly at the camera.","The person in the image appears to be a woman with a fair skin tone and a smooth texture. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light color that could be described as a soft, pale hue. Her eyebrows are thin and neatly groomed, arching gracefully above her eyes. The nose is straight and of medium size, with a smooth bridge and tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her skin appears clear and unblemished. Her hair is a vibrant red, styled in a straight, shoulder-length cut. The hairline is straight, and there are no visible partings or designs. She is not wearing any visible accessories such as earrings, glasses, or piercings. There are no scars, blemishes, or wrinkles on her face. Her overall emotional expression is neutral, and she is looking directly at the camera.",[]
