filename,category,caption
262.jpg,M44,"The person in the image appears to be a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and round, with a light-colored iris, possibly blue or green. His eyebrows are thick and arched, framing his eyes. The nose is straight and medium-sized, with a slight curve at the tip. His mouth is closed, showing a neutral expression, with no visible teeth. There is no visible facial hair, such as a beard or mustache, and his hairline is straight and unparted. His hair is dark and appears to be short, although the image does not provide a clear view of the hairstyle. He is wearing glasses with a thick frame, which partially obscures his eyes. There are no visible accessories, scars, blemishes, or wrinkles. The person's overall emotional expression is neutral, and he is looking directly at the camera."
261.jpg,M44,"The person in the image appears to be a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are of medium size, with a light-colored iris, possibly blue or green, and are framed by thick, dark eyebrows. The nose is straight and of average size, with a smooth texture. His mouth is closed, showing a neutral expression, with no visible teeth. There is no visible facial hair, such as a beard or mustache, and his hair is not visible in the image. He is wearing glasses with a clear frame, which reflect a purple hue, possibly from a screen or light source. The glasses have a round shape and sit comfortably on his face. There are no visible accessories, such as earrings or piercings, and no scars, blemishes, or wrinkles are present. The person's overall emotional expression appears neutral, and he is looking directly at the camera."
263.jpg,M44,"The individual in the image appears to be a person with a medium skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light-colored iris that reflects a hint of purple, suggesting a possible light or blue hue. The eyebrows are thick and arched, framing the eyes. The nose is straight and of average size, with a smooth texture. The mouth is closed, showing a neutral expression, with no visible teeth. There is no visible facial hair, such as a beard or mustache, and the hairline is not clearly visible due to the angle and lighting of the image. The person is wearing glasses with a round frame, which partially obscures the eyes. The glasses have a reflective surface, showing a colorful, abstract pattern that appears to be a mix of yellow, green, and purple hues. There are no visible accessories such as earrings or piercings. The overall emotional expression is neutral, with the gaze directed slightly to the side, not making direct eye contact with the camera. The person's overall appearance is distinctive due to the unique reflection in the glasses and the smooth, unblemished skin tone."
260.jpg,M44,"The person in the image appears to be a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and round, with a light-colored iris, possibly blue or green. His eyebrows are thick and arched, framing his eyes. The nose is straight and medium-sized, with a slight curve at the tip. His mouth is closed, with a neutral expression, and his teeth are not visible. He has a light beard and mustache, which are neatly groomed and well-maintained. The person has short, dark hair that is neatly combed back, with a slight parting on the side. His hairline is receding slightly. He is wearing glasses with a thin frame, which sit comfortably on his nose. There are no visible accessories such as earrings or piercings. The person's overall emotional expression is neutral, and he is looking directly at the camera, with his eyes appearing to be focused and attentive. There are no visible scars, blemishes, or wrinkles on his face. The person's overall appearance is clean and well-groomed, with a distinctive facial structure that sets him apart from others."
258.jpg,M44,"The person in the image appears to be a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and round, with a light blue color that stands out against his fair skin. His eyebrows are thick and arched, framing his eyes. The nose is straight and slightly prominent, with a smooth texture. His mouth is closed, showing a slight smile, with visible teeth. There is no visible facial hair, and his hair is not visible in the image. He is wearing glasses with a thick, round frame that covers his eyes. There are no visible accessories, scars, blemishes, or wrinkles. His overall expression is neutral, and he is looking directly at the camera."
259.jpg,M44,"The person in the image appears to be a male with a fair skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and round, with a light-colored iris, possibly blue or green. His eyebrows are thick and arched, framing his eyes. The nose is straight and medium-sized, with a slight curve at the tip. His mouth is closed, with a neutral expression, and his teeth are not visible. He has a well-groomed mustache that is thick and dark, adding a distinctive feature to his face. His hair is dark, short, and neatly trimmed, with a slight parting on the side. He is wearing glasses with a thick frame, which partially obscures his eyes. There are no visible accessories, scars, blemishes, or wrinkles. His overall emotional expression is neutral, and he is looking directly at the camera."
426.jpg,W22,"The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are large and round, with a light blue color. The eyebrows are thick and arched, framing the eyes. The nose is straight and medium-sized, with a slight curve at the tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is dark, possibly black or dark brown, and appears to be short or very short, as only a small portion of it is visible. The hairline is straight, and there are no visible partings or designs. The person is wearing glasses with a thin frame, which cover the eyes. There are no visible accessories, such as earrings or piercings. The skin is clear, with no visible scars, blemishes, or wrinkles. The overall emotional expression is neutral, and the gaze is directed slightly to the left of the camera."
427.jpg,W22,"The person in the image appears to be a woman with a medium skin tone and a smooth complexion. Her facial shape is oval, with a balanced bone structure. Her eyes are almond-shaped, with a light-colored iris, possibly blue or green. Her eyebrows are thick and arched, framing her eyes. The nose is straight and medium-sized, with a slight curve at the tip. Her mouth is closed, with a neutral expression, and her teeth are not visible. There is no visible facial hair, and her hair is not visible in the image. She is wearing glasses with a round frame, which partially obscures her eyes. There are no visible accessories, scars, or blemishes on her face. The person's overall emotional expression is neutral, and her gaze is directed slightly to the left of the camera."
429.jpg,W22,"The person in the image appears to be a young individual with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are large and round, with a light blue or green color. The eyebrows are thick and arched, framing the eyes. The nose is straight and medium-sized, with a slight curve at the tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, and the hair is not visible in the image. The person is wearing glasses with a thick, white frame that covers the bridge of the nose and the temples. The glasses have a classic, round shape. There are no visible accessories, scars, blemishes, or wrinkles. The overall emotional expression is neutral, and the gaze is directed slightly to the left."
428.jpg,W22,"The person in the image appears to be a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are almond-shaped with a light color, possibly blue or green, and are accentuated by thin eyebrows that arch gracefully above them. The nose is straight and of average size, with a slight curve at the tip. His mouth is closed, showing a neutral expression, with no visible teeth. There is no visible facial hair, such as a beard or mustache, and his hairline is not visible due to the presence of a scarf or similar accessory wrapped around his neck. The hair appears to be dark and is not visible in the image. He is wearing glasses with a thin frame, which cover his eyes and give a sense of intellectual or scholarly appearance. There are no visible accessories, scars, blemishes, or wrinkles on his face. His overall emotional expression is neutral, and he is looking directly at the camera."
