filename,category,caption
303.jpg,M44,"the person in the image is a male with a fair skin tone and a smooth texture . his eyes are almond-shaped with an oval bone structure . he is wearing glasses with thick, round frames that sit comfortably on his nose ."
302.jpg,M44,"the person in the image is a male with a fair skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . mouth is closed, showing a slight smile, with visible teeth ."
304.jpg,M44,"the person in the image is a male with a fair skin tone and a smooth texture . his eyebrows are thick and well-groomed, arching gracefully above his eyes . the nose is wide open in a joyful expression, revealing a set of white teeth ."
307.jpg,M44,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and of a light color, possibly blue or green . there is no visible facial hair, such as a mustache ."
305.jpg,M44,"the individual in the image has a medium skin tone with a smooth texture . their facial shape is oval, with an oval bone structure . the eyes are almond-shaped, with light color, possibly blue or green ."
301.jpg,M44,"the person in the image is a male with a medium skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . there is no visible facial hair, such as a mustache ."
306.jpg,M44,"the person in the image is a young male with a fair skin tone and a smooth texture . he is wearing glasses with round frames that sit comfortably on his face . his overall emotional expression appears neutral, and looks directly at the camera ."
497.jpg,W22,"the person in the image is a woman with a fair skin tone and a smooth texture . her eyebrows are thin and neatly groomed, arching gracefully above her eyes . she is wearing round, thin-rimmed glasses that sit comfortably on her face ."
498.jpg,W22,"the person in the image is a young woman with fair skin and a smooth texture . her nose is straight and medium-sized, complementing her overall delicate facial features . there is no visible facial hair, and her skin appears clear and unblemished ."
500.jpg,W22,"the person in the image appears to be a young individual with a fair skin tone and a smooth texture . the eyebrows are thin and neatly groomed, arching gracefully above the eyes, giving a playful or exuberant expression ."
499.jpg,W22,"the person in the image is a woman with fair skin and a smooth texture . she has almond-shaped eyes with a balanced bone structure . her mouth is closed, showing a neutral expression, and teeth are not visible ."
503.jpg,W22,"the person in the image appears to be a woman with a fair skin tone and a smooth texture . her eyes are large and round, with an iris, possibly blue or green . no visible facial hair, and her skin appears clear and unblemished ."
502.jpg,W22,"the person in the image is a woman with fair skin and a smooth texture . her facial shape is oval, with a balanced bone structure . eyebrows are thin and neatly groomed, arching gracefully above her eyes ."
501.jpg,W22,"the person in the image is a woman with a fair skin tone and a smooth texture . her eyebrows are thick and well-groomed, arched gracefully above her eyes . there is no visible facial hair, and her skin appears clear and unblemished ."
621.jpg,W39,"the individual in the image appears to be a young woman with a fair skin tone and a smooth texture . her eyes are almond-shaped and are accentuated by thick, arched eyebrows . mouth is closed, showing a neutral expression, with no visible teeth ."
617.jpg,W39,"the person in the image is a woman with a fair skin tone and a smooth texture . her eyebrows are thick and arched, framing her eyes . there are no visible facial hair, scars, blemishes or wrinkles ."
622.jpg,W39,"facial shape is oval, with a balanced bone structure . eyebrows are thin and neatly groomed, arching gracefully above her eyes . there is no visible facial hair, and her skin appears clear and unblemished ."
618.jpg,W39,"the individual in the image appears to be a woman with a fair skin tone and a smooth texture . her eyes are almond-shaped, with an balanced bone structure . there is no visible facial hair, and her skin appears unblemished ."
620.jpg,W39,"facial shape is oval, with a balanced bone structure . eyebrows are thin and neatly groomed, arching gracefully above her eyes . mouth is closed, and her teeth are not visible ."
619.jpg,W39,"the person in the image appears to be a woman with a medium skin tone and a smooth complexion . her eyebrows are thick and arched, framing her eyes . there is no visible facial hair, and her hair is dark, pulled back ."
616.jpg,W39,the person in the image is a woman with a fair skin tone and a smooth texture . her eyes are almond-shaped and her eyebrows are thick and arched . there is no visible facial hair .
17.jpg,M03,"the person in the image is a male with a fair skin tone and a smooth texture . his eyebrows are thick and arched, adding to his expressive face . the nose is straight and of average size, complementing his overall balanced facial features ."
19.jpg,M03,"the person in the image is a woman with fair skin and a smooth texture . she has large, round eyes with a balanced bone structure . her eyebrows are thick and arched, framing her eyes beautifully ."
18.jpg,M03,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and a light blue color, giving a calm expression . there is no visible facial hair, such as a mustache ."
15.jpg,M03,"the person in the image is a male with a fair skin tone and a smooth texture . his mouth is closed in a neutral expression, showing a slight smile . there is no visible facial hair, such as a beard or mustache ."
14.jpg,M03,"the person in the image is a male with fair skin and a smooth texture . his facial shape is oval, with a prominent and well-defined bone structure ."
20.jpg,M03,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and a light green color . there is no visible facial hair, such as a mustache ."
16.jpg,M03,"the person in the image is a middle-aged individual with fair skin . the facial shape is oval, with a prominent and well-defined bone structure . there is no visible facial hair, such as a beard or mustache ."
672.jpg,W47,"the person in the image is a woman with a fair skin tone and a smooth texture . her eyebrows are thin and neatly groomed, arching gracefully above her eyes . no visible facial hair, and her skin appears clear and unblemished ."
677.jpg,W47,"facial shape is oval, with a balanced and symmetrical bone structure . eyebrows are thick and well-groomed, arching gracefully above her eyes . there is no visible facial hair, and her skin appears unblemished ."
674.jpg,W47,"the person in the image is a woman with fair skin and a smooth texture . her facial shape is oval, with a balanced bone structure . she is not wearing any accessories such as earrings, glasses or piercings ."
673.jpg,W47,"facial shape is oval, with a balanced bone structure . eyebrows are thin and neatly groomed, arching gracefully above her eyes . mouth is closed in a gentle smile, showing a set of white teeth ."
676.jpg,W47,"the person in the image appears to be a woman with a fair skin tone and a smooth texture . her eyebrows are thin and neatly groomed, arching gracefully above her eyes ."
678.jpg,W47,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and a light brown color . no visible facial hair, such as a beard or mustache ."
675.jpg,W47,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped, a light color, possibly blue or green . there is no visible facial hair, and the skin appears clear ."
246.jpg,M36,"the person in the image is a male with a fair skin tone and a smooth texture . his eyes are large and round, with an iris, possibly blue or green ."
247.jpg,M36,"the individual in the image appears to be a male with a medium skin tone and a smooth texture . his eyes are of medium size and are framed by thick, dark eyebrows that arch slightly . mouth is closed, showing a neutral expression, with visible teeth ."
248.jpg,M36,"the person in the image is a male with a fair skin tone and a smooth texture . his eyes are of medium size, and are slightly squinted, giving an impression of a joyful or amused expression ."
249.jpg,M36,"the individual in the image is a person with a fair skin tone and a smooth texture . their facial shape is oval, with an attractive and well-defined bone structure . the eyes are almond-shaped and have a light color, possibly blue or green ."
251.jpg,M36,"the individual in the image is a person with a fair skin tone and a smooth texture . the facial shape is oval, with an well-defined bone structure . there is no visible facial hair, such as a beard or mustache ."
250.jpg,M36,"the individual in the image is a person with a fair skin tone and a smooth texture . the facial shape is oval, with an almond-shaped bone structure . there is no visible facial hair, such as a beard or mustache ."
245.jpg,M36,"the individual in the image is a person with a fair skin tone and a smooth texture . the facial shape is oval, with an attractive and well-defined bone structure ."
308.jpg,M45,"the individual in the image appears to be a male with a medium skin tone and a smooth texture . his eyes are almond-shaped and are framed by thin, dark-rimmed glasses . there is no visible facial hair, such as a beard or mustache ."
314.jpg,M45,"the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial shape is oval, with an almond-shaped bone structure . there is no visible facial hair, such as a beard or mustache ."
310.jpg,M45,"the individual in the image is a person with a medium skin tone and a smooth texture . the facial shape is oval, with an oval bone structure . there is no visible facial hair, such as a beard or mustache ."
312.jpg,M45,"the person in the image is a male with a medium skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . no visible facial hair, such as a beard or mustache ."
309.jpg,M45,"the person in the image is a male with a medium skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . there is no visible facial hair, such as a beard or mustache ."
311.jpg,M45,"the person in the image is a male with a medium skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . there is no visible facial hair, and his hair is not visible ."
313.jpg,M45,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and a light brown color . no visible facial hair, such as a mustache, can be provided ."
315.jpg,M46,"the person in the image is a young individual with a fair skin tone and a smooth texture . the eyebrows are almond-shaped with an oval bone structure . there is no visible facial hair, such as a beard or mustache ."
317.jpg,M46,"the individual in the image is a person with a fair skin tone and a smooth texture . the eyes are almond-shaped and of a light color, possibly blue or green ."
319.jpg,M46,"the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial shape is oval, with an almond-shaped bone structure . there is no visible facial hair, such as a beard or mustache ."
320.jpg,M46,"the facial shape is oval, with a balanced bone structure . the eyes are almond-shaped and of a light color, possibly blue or green . there is no visible facial hair, such as a mustache ."
318.jpg,M46,"the facial shape is oval, with a prominent and well-defined bone structure . the eyes are of medium size and are set in a symmetrical position . there is no visible facial hair, such as a beard or mustache ."
316.jpg,M46,"the individual in the image is a person with a fair skin tone and a smooth texture . their facial shape is oval, with an attractive and well-defined bone structure . the eyes are almond-shaped and have a light color, possibly blue or green ."
321.jpg,M46,"the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial shape is oval and has a balanced bone structure . no visible facial hair, such as a mustache, can be provided ."
484.jpg,W20,the person in the image appears to be a young adult with a fair skin tone and a smooth texture . the facial shape is oval and has a balanced bone structure . there is no visible facial hair .
485.jpg,W20,"the person in the image is a young individual with a fair skin tone and a smooth texture . the facial shape is oval, with an almond-shaped bone structure . eyebrows are thin and neatly groomed ."
483.jpg,W20,"her facial shape is oval, with a balanced bone structure . her eyes are almond-shaped and a light blue color giving her a striking and expressive look . there is no visible facial hair, and her skin appears clear and unblemished ."
486.jpg,W20,"the person in the image appears to be a young individual with a fair skin tone and a smooth texture . there is no visible facial hair, and the hairline is straight and unadorned ."
489.jpg,W20,"the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial features include the almond-shaped eyes, thick eyebrows, and straight nose ."
488.jpg,W20,"the person in the image appears to be of medium skin tone with a smooth texture . the facial shape is oval and has a balanced bone structure . no visible facial hair, such as a beard or mustache ."
487.jpg,W20,"the person in the image appears to be a young individual with a fair skin tone and a smooth texture . the facial features include the almond-shaped eyes, thick eyebrows, and neat hairstyle, help distinguish them from others ."
631.jpg,W41,"the person in the image is a young woman with a fair skin tone and a smooth texture . there is no visible facial hair, no scars, scars or blemishes ."
636.jpg,W41,"the person in the image appears to be a woman with a fair skin tone and a smooth texture . her eyebrows are thin and neatly groomed, arching gracefully above her eyes . no visible facial hair, and her skin appears clear and unblemished ."
630.jpg,W41,"the person in the image appears to be a woman with a fair skin tone and a smooth texture . her eyebrows are thin and neatly groomed, arching gracefully above her eyes . no visible facial hair, and her skin appears clear and unblemished ."
635.jpg,W41,"the person in the image appears to be a young female with a fair skin tone and a smooth texture . her nose is straight and of medium size, complementing her overall facial features . there is no visible facial hair, and her skin appears clear and unblemished ."
634.jpg,W41,"the person in the image appears to be a young woman with a fair skin tone and a smooth texture . her eyebrows are thin and neatly groomed, arching gracefully above her eyes . there is no visible facial hair, and her skin appears unblemished ."
632.jpg,W41,"the person in the image appears to be a young individual with a fair skin tone and a smooth texture . the facial shape is oval, with an balanced bone structure, and is framed by thick, dark eyebrows that arch gracefully over the eyes ."
633.jpg,W41,"the person in the image appears to be a young female with a fair skin tone and a smooth texture . she is not wearing any accessories such as earrings, glasses, or piercings . no visible scars, blemishes, or wrinkles on her face ."
645.jpg,W43,"the person in the image is a woman with fair skin and a smooth texture . her eyes are almond-shaped, with a balanced bone structure . there is no visible facial hair, and she is wearing no visible accessories ."
647.jpg,W43,"the person in the image is a woman with fair skin and a smooth texture . her eyes are almond-shaped, with a prominent and well-defined bone structure . the overall emotional expression is one of happiness and excitement ."
649.jpg,W43,"the person in the image appears to be a young woman with fair skin . her facial shape is oval, with a balanced bone structure . eyes are almond-shaped and a striking blue color ."
646.jpg,W43,"the person in the image is a woman with fair skin and a smooth texture . her facial shape is oval, with a balanced bone structure ."
644.jpg,W43,"the person in the image is a woman with fair skin and a smooth texture . she has almond-shaped eyes with a balanced bone structure . her mouth is closed, showing a neutral expression, and teeth are not visible ."
650.jpg,W43,"facial shape is oval, with a balanced bone structure . eyebrows are thin and neatly groomed, arching gracefully above her eyes . there is no visible facial hair, and her skin appears clear and unblemished ."
648.jpg,W43,"the person in the image appears to be a young woman with fair skin . her facial shape is oval, with a balanced bone structure . eyes are almond-shaped and a striking green color ."
607.jpg,W37,"the person in the image appears to be a woman with a fair skin tone . her eyes are almond-shaped and a light blue color giving her a striking and expressive look . there is no visible facial hair, and her skin appears clear and unblemished ."
602.jpg,W37,"the person in the image is a woman with fair skin and a smooth texture . her facial shape is oval, with a balanced bone structure . there is no visible facial hair, and her hair is not visible ."
603.jpg,W37,"the person in the image is a woman with a fair skin tone and a smooth texture . her mouth is slightly open, revealing a warm smile with visible teeth . there is no visible facial hair, and her hair is not visible ."
605.jpg,W37,"the person in the image is a woman with a fair skin tone and a smooth texture . she is not wearing any accessories such as earrings, glasses, or piercings ."
604.jpg,W37,"the person in the image is a woman with a fair skin tone and a smooth texture . her eyebrows are thin and neatly groomed, arching gracefully above her eyes . no visible facial hair, and her skin appears clear and unblemished ."
608.jpg,W37,"the person in the image appears to be a woman with a fair skin tone . her eyes are almond-shaped and a light brown color . there is no visible facial hair, and her hair is not visible ."
606.jpg,W37,"the person in the image appears to be a woman with a fair skin tone . her eyes are almond-shaped and a striking blue color, which stand out against her fair skin . there is no visible facial hair, and her skin appears unblemished ."
199.jpg,M29,"the person in the image is a male with a medium skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . there is no visible facial hair, and his hair is not visible ."
198.jpg,M29,"the individual in the image appears to be a male with a medium skin tone and a smooth texture . his facial shape is oval, with an iris, possibly blue or green, and his eyebrows are thick and dark ."
197.jpg,M29,"the person in the image is a male with a fair skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . he has a well-groomed beard and mustache which are light in color ."
202.jpg,M29,"the individual in the image is a young male with a medium skin tone and a smooth texture . his eyebrows are thick and dark, arched slightly, and frame his eyes . there is no visible facial hair, such as a beard or mustache ."
201.jpg,M29,"the individual in the image has a fair skin tone with a smooth texture . the eyes are almond-shaped, with an symmetrical bone structure . no visible facial hair, such as a beard or mustache ."
200.jpg,M29,"the individual in the image appears to be a male with a medium skin tone and a smooth texture . his eyes are almond-shaped, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache ."
196.jpg,M29,"the individual in the image appears to be a male with a medium skin tone and a smooth texture . his eyebrows are thick and well-groomed, arching slightly above his eyes . there are no visible accessories, scars, blemishes, or wrinkles ."
298.jpg,M43,the individual in the image is a person with a medium skin tone and a smooth texture . the facial shape is oval and has a prominent and well-defined bone structure .
294.jpg,M43,"the individual in the image is a male with a medium skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . he has a short beard and mustache, which are dark in color ."
299.jpg,M43,"the individual in the image is a male with a medium skin tone and a smooth texture . his eyes are almond-shaped, with an iris, possibly blue or green, framing his eyes ."
295.jpg,M43,"the person in the image is a male with a fair skin tone and a smooth texture . his eyebrows are thick and arched, framing his eyes . he has a full beard and mustache, which are well-groomed ."
297.jpg,M43,"the person in the image is a male with a medium skin tone and a smooth texture . his eyes are partially closed, and the shape of his eyes is almond-shaped . there is no visible facial hair, such as a beard or mustache ."
