filename,category,caption
00000262.jpg,Jamie_Vardy,"the individual in the image appears to be a male with a fair skin tone and a smooth texture . his eyes are of medium size, with an iris, possibly blue or green . there is no visible facial hair, such as a mustache ."
00000115.jpg,Jamie_Vardy,"the individual in the image is a male with a fair skin tone and a smooth texture . his eyebrows are thick and neatly groomed, arching gracefully above his eyes . there are no visible accessories, scars, or blemishes on his face ."
00000135.jpg,Jamie_Vardy,"the individual appears to be a male with a fair skin tone and a smooth texture . his eyebrows are thick and neatly groomed, arching slightly over his eyes . there is no visible facial hair, such as a mustache ."
00000224.jpg,Jamie_Vardy,"the individual appears to be a male with a fair skin tone and a smooth texture . his eyebrows are thick and neatly groomed, arching slightly over his eyes . there is no visible facial hair, such as a mustache ."
00000170.jpg,Jamie_Vardy,"the individual in the image appears to be a male with a fair skin tone and a smooth texture . his eyebrows are thick and well-groomed, arching gracefully above his eyes . he is looking directly at the camera ."
00000322.jpg,Nambaryn_Enkhbayar,"the individual in the image has a medium skin tone with a smooth texture . their facial shape is oval, with an oval bone structure . there is no visible facial hair, such as a beard or mustache ."
00000003.jpg,Nambaryn_Enkhbayar,"the person in the image is a middle-aged individual with a medium skin tone and a smooth complexion . there is no visible facial hair, such as a beard or mustache . the overall emotional expression is neutral, and the gaze is directed slightly to the left of the camera ."
00000041.jpg,Nambaryn_Enkhbayar,"the person in the image is a middle-aged individual with a medium skin tone and a smooth complexion . there is no visible facial hair, such as a beard or mustache . the skin appears to be free of scars, blemishes or wrinkles ."
00000256.jpg,Nambaryn_Enkhbayar,"the individual in the image appears to be a middle-aged person with a fair skin tone and a smooth texture . there is no visible facial hair, such as a beard or mustache, so no information about its color, style, or texture can be provided ."
00000113.jpg,Nambaryn_Enkhbayar,"the person in the image is a middle-aged individual with a medium skin tone and a smooth complexion . the facial shape is oval, with an almond-shaped bone structure . there is no visible facial hair, such as a beard or mustache ."
00000019.jpg,Ammar_al-Hakim,"the individual in the image is a male with a medium skin tone and a textured complexion . his eyes are almond-shaped, with an iris, possibly blue or green . he has a full beard and mustache, which are well-groomed ."
00000341.jpg,Ammar_al-Hakim,"the individual in the image is a male with a medium skin tone and a textured complexion . his facial shape is oval, with an attractive and well-defined bone structure . he has a light-colored iris, possibly blue or green ."
