filename,category,caption
116.jpg,Philip_Seymour_Hoffman,"the individual in the image is a person with a fair skin tone and a smooth texture . the facial shape is oval, with an almond-shaped bone structure . there are no visible accessories, scars, wrinkles, or scars ."
11.jpg,Philip_Seymour_Hoffman,"the person in the image is a male with a fair skin tone and a smooth texture . his eyebrows are thick and well-groomed, following the natural arch of his forehead ."
96.jpg,Philip_Seymour_Hoffman,"the individual in the image is a person with a fair skin tone and a textured complexion . the facial shape is oval, with an iris, possibly blue or green . there are no visible accessories such as earrings, glasses or piercings ."
78.jpg,Philip_Seymour_Hoffman,"the individual in the image is a person with fair skin and a smooth texture . their facial shape is oval, with a prominent and well-defined bone structure . the eyes are of medium size, with an iris, possibly blue or green ."
80.jpg,Philip_Seymour_Hoffman,"the individual in the image is a person with a fair skin tone and a smooth texture . the facial shape is oval, with an iris, possibly blue or green ."
52.jpg,Philip_Seymour_Hoffman,"the individual in the image is a person with a fair skin tone and a smooth texture . their facial shape is oval, with an prominent and well-defined bone structure . the eyes are of medium size, with iris, possibly blue or green ."
101.jpg,Philip_Seymour_Hoffman,"the individual in the image is a person with a fair skin tone and a smooth texture . the facial shape is oval, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache ."
76.jpg,Philip_Seymour_Hoffman,"the individual in the image is a person with a fair skin tone and a smooth texture . the eyes are of medium size, with an iris, possibly blue or green . there is no visible facial hair, such as a mustache ."
118.jpg,Philip_Seymour_Hoffman,"facial shape is oval, with a prominent and well-defined bone structure . eyes are of medium size, with light-colored iris, possibly blue or green . mouth is wide, showing a broad smile with visible teeth, indicating a joyful or content expression ."
106.jpg,Philip_Seymour_Hoffman,"the individual in the image is a person with a fair skin tone and a smooth texture . the eyes are of medium size, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache ."
85.jpg,Philip_Seymour_Hoffman,"the person in the image is a male with a fair skin tone and a smooth texture . his eyes are of medium size, with an iris, possibly blue or green . he has a light beard and mustache which are neatly trimmed and well-groomed ."
41.jpg,Philip_Seymour_Hoffman,the individual in the image is a person with a fair skin tone and a textured complexion . the facial shape is oval and has a prominent and well-defined bone structure .
55.jpg,Philip_Seymour_Hoffman,"the person in the image is a male with a fair skin tone and a smooth texture . his eyes are of medium size, with an iris, possibly blue or green . there is no visible facial hair, such as a mustache ."
1.jpg,Philip_Seymour_Hoffman,"the individual in the image appears to be a male with a fair skin tone and a smooth texture . his eyebrows are thick and well-groomed, arching gracefully above his eyes . the nose is straight and of medium size, complementing his overall facial features ."
40.jpg,Philip_Seymour_Hoffman,"the individual in the image is a person with a fair skin tone and a smooth texture . their facial shape is oval, with an iris, possibly blue or green . the eyes are of medium size, with medium-sized iris and well-groomed nose ."
32.jpg,Philip_Seymour_Hoffman,"the person in the image is a middle-aged individual with a fair skin tone and a smooth texture . the facial shape is oval, with an iris, possibly blue or green, and the eyes are of medium size ."
84.jpg,Philip_Seymour_Hoffman,"the individual in the image appears to be a person with a fair skin tone and a smooth texture . the facial shape is oval and has a prominent bone structure . there is no visible facial hair, such as a beard or mustache ."
68.jpg,Philip_Seymour_Hoffman,"the individual in the image is a person with fair skin and a smooth texture . their facial shape is oval, with a prominent and well-defined bone structure ."
51.jpg,Philip_Seymour_Hoffman,"the individual in the image is a person with a fair skin tone and a smooth texture . the facial shape is oval and has a prominent bone structure . there is no visible facial hair, such as a beard or mustache ."
70.jpg,Dustin_Hoffman,"the individual in the image appears to be a middle-aged person with a fair skin tone and a smooth texture . there is no visible facial hair, such as a beard or mustache . the overall emotional expression is neutral, and the gaze is directed slightly to the side ."
28.jpg,Dustin_Hoffman,"the individual in the image appears to be a middle-aged male with a fair skin tone and a smooth texture . his eyes are of medium size, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache ."
39.jpg,Dustin_Hoffman,"the individual in the image is a middle-aged person with a fair skin tone and a smooth texture . the facial shape is oval, with an attractive and well-defined bone structure . there is no visible facial hair, such as a beard or mustache ."
52.jpg,Dustin_Hoffman,"the individual in the image is a person with a medium skin tone and a smooth texture . the facial shape is oval, with an oval bone structure . there is no visible facial hair, such as a beard or mustache ."
151.jpg,Dustin_Hoffman,the individual in the image is a person with a fair skin tone and a smooth texture . the facial shape is oval and has a prominent and well-defined bone structure .
145.jpg,Dustin_Hoffman,"the individual in the image is a male with a fair skin tone and a smooth texture . his eyes are almond-shaped, with an attractive and well-defined bone structure . no visible facial hair, such as a beard or mustache ."
150.jpg,Dustin_Hoffman,the individual appears to be a middle-aged person with a fair skin tone and a smooth texture . the facial shape is oval and has a prominent and well-defined bone structure .
194.jpg,Dustin_Hoffman,"the individual in the image is a person with a fair skin tone and a smooth texture . the facial shape is oval, with an balanced bone structure . there is no visible facial hair, such as a beard or mustache ."
172.jpg,Dustin_Hoffman,"the individual in the image appears to be a middle-aged male with a fair skin tone and a smooth texture . his eyes are of medium size, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache ."
183.jpg,Dustin_Hoffman,"the individual in the image appears to be a male with a fair skin tone and a smooth texture . his eyes are of medium size, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache."
94.jpg,Dustin_Hoffman,"the individual in the image is a person with a fair skin tone and a smooth texture . the facial shape is oval, with an balanced bone structure . there is no visible facial hair, such as a beard or mustache ."
131.jpg,Dustin_Hoffman,"the individual in the image is a male with a fair skin tone and a smooth texture . his eyes are of medium size, with an iris, possibly blue or green . there is no visible facial hair, such as a mustache ."
2.jpg,Dustin_Hoffman,"the individual in the image appears to be a male with a fair skin tone and a smooth texture . his eyes are of medium size, with an iris, possibly blue or green . there is no visible facial hair, such as a beard or mustache, and his hair is not visible ."
72.jpg,Dustin_Hoffman,"the individual in the image is a person with a fair skin tone and a smooth texture . there is no visible facial hair, such as a beard or mustache . the skin appears to be free of scars, blemishes, or wrinkles ."
30.jpg,Dustin_Hoffman,"the individual in the image appears to be a male with a fair skin tone and a smooth texture . his eyes are almond-shaped, with an attractive and well-defined bone structure . he is looking directly at the camera ."
