filename,category,caption
1702.jpg,M44,"The person in the image has a fair skin tone with a smooth texture. Their facial shape is oval, with a prominent and well-defined bone structure. The eyes are almond-shaped with a light blue color, and the eyebrows are thick and arched, framing the eyes. The nose is straight and of medium size, with a slight curve at the tip. The mouth is closed, showing a neutral expression, with visible teeth. There is no visible facial hair, and the hair is not visible in the image. The person is wearing glasses with a thick frame, which partially obscures the eyes. There are no visible accessories, scars, blemishes, or wrinkles. The overall emotional expression appears neutral, and the gaze is directed slightly to the left."
1004.jpg,M44,"The person in the image appears to be a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are large and expressive, with a light-colored iris, possibly blue or green. His eyebrows are thick and well-groomed, arching gracefully above his eyes. The nose is straight and of average size, with a smooth bridge and tip. His mouth is wide open in a joyful expression, revealing a set of white teeth. There is no visible facial hair, and his hair is short, dark, and neatly styled. The hairline is straight, and there are no visible partings or designs. He is wearing glasses with a thin frame, which sit comfortably on his nose. There are no visible accessories, scars, blemishes, or wrinkles. His overall emotional expression is one of happiness and excitement, with his gaze directed slightly to the left of the camera."
1706.jpg,M44,"The individual in the image appears to be a person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are of medium size, with a light-colored iris, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of average size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is light-colored, possibly blonde or light brown, and is styled in a short, neat cut with a side parting. The hairline is straight and clean, with no visible scars or blemishes. The person is wearing glasses with a thin frame, which sit comfortably on the nose. The overall emotional expression is neutral, with a slight hint of curiosity or mild interest. The gaze is directed slightly to the left of the camera, suggesting a focused or attentive look."
2407.jpg,M44,"The individual in the image appears to be a person with a medium skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped, with a light-colored iris, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above the eyes. The nose is straight and of average size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is dark, possibly black or brown, and styled in a short, neat cut with a side parting. The hairline is straight and clean, with no visible scars or blemishes. The person is wearing glasses, which have a thin frame and are positioned slightly above the eyes. The overall emotional expression is neutral, with a slight hint of calmness. The gaze is directed slightly to the left, giving a sense of attentiveness or contemplation."
1703.jpg,M44,"The individual in the image appears to be a person with a fair skin tone and a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are of medium size, with a light-colored iris, possibly blue or green. The eyebrows are thick and well-groomed, arching slightly above the eyes. The nose is straight and of average size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is dark, short, and neatly styled, with a side parting. There are no visible accessories, such as earrings, glasses, or piercings. The skin appears clear, with no noticeable scars, blemishes, or wrinkles. The overall emotional expression is neutral, and the gaze is directed slightly to the left of the camera."
303.jpg,M44,"The person in the image is a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are almond-shaped, with a light blue color, and are accentuated by thick, dark eyebrows. The nose is straight and of medium size, with a slight curve at the tip. His mouth is closed, with a neutral expression, and he has a slight overbite. There is no visible facial hair, and his hair is not visible in the image. He is wearing glasses with a thick, dark frame. There are no visible accessories, scars, blemishes, or wrinkles. His overall emotional expression is neutral, and he is looking directly at the camera."
1705.jpg,M44,"The individual in the image has a medium skin tone with a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped with a light color, possibly blue or green. The eyebrows are thick and arched, framing the eyes. The nose is straight and of average size, with a smooth bridge. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is short, dark, and neatly styled, with a side parting. There are no visible accessories, such as earrings or glasses, and no scars, blemishes, or wrinkles. The overall emotional expression is neutral, and the gaze is directed slightly to the left."
1002.jpg,M44,"The person in the image appears to be a male with a medium skin tone and a smooth texture. His facial shape is oval, with a prominent and well-defined bone structure. His eyes are of medium size, with a light-colored iris, possibly blue or green. The eyebrows are thick and well-groomed, arching gracefully above his eyes. His nose is straight and of average size, with a smooth bridge and tip. The mouth is closed, showing a slight smile, with visible teeth. There is no visible facial hair, such as a beard or mustache, and his grooming appears meticulous. His hair is dark, possibly black or very dark brown, and is styled in a short, neat cut. The hairline is straight, and there are no visible partings or designs. He is wearing glasses with a thin frame, which sit comfortably on his nose. There are no visible accessories such as earrings or piercings. The person's overall expression is neutral to slightly cheerful, with a gentle gaze directed slightly to the left of the camera."
1006.jpg,M44,"The individual in the image has a fair skin tone with a smooth texture. The facial shape is oval, with a balanced bone structure. The eyes are almond-shaped with a light color, possibly blue or green. The eyebrows are thin and neatly groomed, arching slightly above the eyes. The nose is straight and of average size, with a smooth bridge. The mouth is closed, showing a neutral expression, with no visible teeth. There is no visible facial hair, such as a beard or mustache. The hair is short, dark, and neatly styled, with a parting on the side. The hairline is straight and clean. There are no visible accessories, such as earrings or glasses, and no scars, blemishes, or wrinkles. The overall emotional expression is neutral, and the gaze is directed slightly to the left of the camera."
2405.jpg,M44,"The individual in the image has a medium skin tone with a smooth texture. The facial shape appears to be oval, with a balanced bone structure. The eyes are of medium size, with a light-colored iris, possibly blue or green. The eyebrows are thick and well-groomed, arching slightly above the eyes. The nose is straight and of average size, with a smooth bridge and tip. The mouth is closed, with a neutral expression, and the teeth are not visible. There is no visible facial hair, such as a beard or mustache. The hair is dark, short, and neatly styled, with a side parting. The hairline is straight and even. There are no visible accessories, such as earrings, glasses, or piercings. The skin appears clear, with no noticeable scars, blemishes, or wrinkles. The overall emotional expression is neutral, and the gaze is directed slightly to the left of the camera."
